rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
129,apa,1,157,72,5.259,1369,pending,psychoanalytic_psychology_high_frequency_recon,,apa,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
130,reality,1,156,94,6.866,1369,pending,psychoanalytic_psychology_high_frequency_recon,,reality,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
131,defense,1,155,69,5.04,1369,pending,psychoanalytic_psychology_high_frequency_recon,,defense,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
132,alliance,1,155,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,,alliance,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
133,center,1,155,118,8.619,1369,pending,psychoanalytic_psychology_high_frequency_recon,,center,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
134,related,1,153,111,8.108,1369,pending,psychoanalytic_psychology_high_frequency_recon,,related,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
135,city,1,153,90,6.574,1369,pending,psychoanalytic_psychology_high_frequency_recon,,city,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
136,https,1,151,101,7.378,1369,pending,psychoanalytic_psychology_high_frequency_recon,,https,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
137,narcissistic,1,150,72,5.259,1369,pending,psychoanalytic_psychology_high_frequency_recon,self_narcissism,narcissistic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
138,notification,1,150,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,,notification,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
139,many,1,149,122,8.912,1369,pending,psychoanalytic_psychology_high_frequency_recon,,many,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
140,ego,1,149,68,4.967,1369,pending,psychoanalytic_psychology_high_frequency_recon,,ego,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
141,email,1,148,144,10.519,1369,pending,psychoanalytic_psychology_high_frequency_recon,,email,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
142,needs,1,147,82,5.99,1369,pending,psychoanalytic_psychology_high_frequency_recon,,needs,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
143,significant,1,147,127,9.277,1369,pending,psychoanalytic_psychology_high_frequency_recon,,significant,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
144,gender,1,146,61,4.456,1369,pending,psychoanalytic_psychology_high_frequency_recon,culture_social_ethics,gender,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
145,history,1,145,99,7.232,1369,pending,psychoanalytic_psychology_high_frequency_recon,,history,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
146,important,1,144,128,9.35,1369,pending,psychoanalytic_psychology_high_frequency_recon,,important,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
147,cultural,1,144,65,4.748,1369,pending,psychoanalytic_psychology_high_frequency_recon,culture_social_ethics,cultural,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
148,specific,1,143,114,8.327,1369,pending,psychoanalytic_psychology_high_frequency_recon,,specific,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
149,psychopathology,1,141,94,6.866,1369,pending,psychoanalytic_psychology_high_frequency_recon,,psychopathology,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
150,years,1,141,118,8.619,1369,pending,psychoanalytic_psychology_high_frequency_recon,,years,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
151,personal,1,141,98,7.159,1369,pending,psychoanalytic_psychology_high_frequency_recon,,personal,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
152,avenue,1,141,138,10.08,1369,pending,psychoanalytic_psychology_high_frequency_recon,,avenue,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
153,capacity,1,141,96,7.012,1369,pending,psychoanalytic_psychology_high_frequency_recon,,capacity,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
154,united,1,141,98,7.159,1369,pending,psychoanalytic_psychology_high_frequency_recon,,united,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
155,particular,1,139,117,8.546,1369,pending,psychoanalytic_psychology_high_frequency_recon,,particular,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
156,sense,1,139,102,7.451,1369,pending,psychoanalytic_psychology_high_frequency_recon,,sense,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
157,factors,1,139,91,6.647,1369,pending,psychoanalytic_psychology_high_frequency_recon,,factors,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
