journal_key,period,semantic_family,n_articles_refined,n_family_hit_rows_refined,n_articles_group,pct_articles_group_refined
psychoanalytic_psychology,1990-2009,transference_countertransference,117,117,622,18.8103
psychoanalytic_psychology,1990-2009,technique_interpretation_process,117,117,622,18.8103
psychoanalytic_psychology,1990-2009,relational_intersubjective_field,194,194,622,31.1897
psychoanalytic_psychology,1990-2009,trauma_dissociation_affect_regulation,114,114,622,18.328
psychoanalytic_psychology,1990-2009,psychosis_borderline_primitive_states,29,29,622,4.6624
psychoanalytic_psychology,1990-2009,body_sexuality_gender,101,101,622,16.2379
psychoanalytic_psychology,1990-2009,language_narrative_symbolization,77,77,622,12.3794
psychoanalytic_psychology,1990-2009,culture_race_social_ethics,28,28,622,4.5016
psychoanalytic_psychology,1990-2009,empirical_research_measurement,93,93,622,14.9518
psychoanalytic_psychology,1990-2009,history_theory_schools,15,15,622,2.4116
psychoanalytic_psychology,2010-2025,drive_conflict_defense,141,141,624,22.5962
psychoanalytic_psychology,2010-2025,dream_fantasy_unconscious,46,46,624,7.3718
psychoanalytic_psychology,2010-2025,ego_self_narcissism,104,104,624,16.6667
psychoanalytic_psychology,2010-2025,object_relations,71,71,624,11.3782
psychoanalytic_psychology,2010-2025,kleinian_bionian,12,12,624,1.9231
psychoanalytic_psychology,2010-2025,winnicottian_environment_holding,13,13,624,2.0833
psychoanalytic_psychology,2010-2025,attachment_development_infant,142,142,624,22.7564
psychoanalytic_psychology,2010-2025,transference_countertransference,79,79,624,12.6603
psychoanalytic_psychology,2010-2025,technique_interpretation_process,78,78,624,12.5
psychoanalytic_psychology,2010-2025,relational_intersubjective_field,196,196,624,31.4103
psychoanalytic_psychology,2010-2025,trauma_dissociation_affect_regulation,141,141,624,22.5962
psychoanalytic_psychology,2010-2025,psychosis_borderline_primitive_states,32,32,624,5.1282
psychoanalytic_psychology,2010-2025,body_sexuality_gender,80,80,624,12.8205
psychoanalytic_psychology,2010-2025,language_narrative_symbolization,66,66,624,10.5769
psychoanalytic_psychology,2010-2025,culture_race_social_ethics,80,80,624,12.8205
psychoanalytic_psychology,2010-2025,empirical_research_measurement,181,181,624,29.0064
psychoanalytic_psychology,2010-2025,history_theory_schools,10,10,624,1.6026
psychoanalytic_psychotherapy,1970-1989,drive_conflict_defense,13,13,39,33.3333
psychoanalytic_psychotherapy,1970-1989,dream_fantasy_unconscious,4,4,39,10.2564
psychoanalytic_psychotherapy,1970-1989,ego_self_narcissism,2,2,39,5.1282
psychoanalytic_psychotherapy,1970-1989,object_relations,10,10,39,25.641
psychoanalytic_psychotherapy,1970-1989,kleinian_bionian,1,1,39,2.5641
psychoanalytic_psychotherapy,1970-1989,attachment_development_infant,10,10,39,25.641
psychoanalytic_psychotherapy,1970-1989,transference_countertransference,6,6,39,15.3846
psychoanalytic_psychotherapy,1970-1989,technique_interpretation_process,2,2,39,5.1282
psychoanalytic_psychotherapy,1970-1989,relational_intersubjective_field,6,6,39,15.3846
psychoanalytic_psychotherapy,1970-1989,trauma_dissociation_affect_regulation,1,1,39,2.5641
psychoanalytic_psychotherapy,1970-1989,psychosis_borderline_primitive_states,6,6,39,15.3846
psychoanalytic_psychotherapy,1970-1989,body_sexuality_gender,2,2,39,5.1282
psychoanalytic_psychotherapy,1970-1989,empirical_research_measurement,5,5,39,12.8205
psychoanalytic_psychotherapy,1970-1989,history_theory_schools,1,1,39,2.5641
