rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
78,setting,1,138,88,10.115,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,setting,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
79,unconscious,1,138,90,10.345,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,unconscious,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
80,world,1,137,93,10.69,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,world,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
83,interpersonal,1,134,47,5.402,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,interpersonal,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
85,john,1,133,48,5.517,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,john,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
86,countertransference,1,131,63,7.241,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,transference_countertransference,countertransference,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
87,public,1,131,74,8.506,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,public,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
88,symptoms,1,130,75,8.621,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,symptoms,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
89,general,1,129,83,9.54,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,general,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
90,patient's,1,129,85,9.77,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,patient's,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
91,change,1,128,81,9.31,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,change,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
92,important,1,126,107,12.299,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,important,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
93,difficulties,1,125,96,11.034,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,difficulties,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
94,particular,1,125,111,12.759,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,particular,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
95,aspects,1,125,92,10.575,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,aspects,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
96,problems,1,122,79,9.08,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,problems,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
97,medical,1,122,58,6.667,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,medical,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
98,attachment,1,120,45,5.172,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,development_attachment,attachment,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
99,only,1,120,99,11.379,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,only,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
100,self,1,117,66,7.586,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,self_narcissism,self,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
102,learning,1,116,53,6.092,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,learning,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
103,department,1,116,89,10.23,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,department,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
104,three,1,115,95,10.92,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,three,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
106,context,1,113,89,10.23,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,context,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
107,david,1,113,34,3.908,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,david,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
