rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
94,ijpa,wish,terms_unigram,5423,6741,387,202,7.1363,2.9966,4.1397,2.3786,24.676675,wish,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,wish,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
95,ijpa,attempt,terms_unigram,5423,6741,540,410,9.9576,6.0822,3.8754,1.6366,24.389545,attempt,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,attempt,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
97,ijpa,though,terms_unigram,5423,6741,431,271,7.9476,4.0202,3.9275,1.9755,23.833471,though,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,though,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
100,ijpa,quite,terms_unigram,5423,6741,347,159,6.3987,2.3587,4.04,2.7081,23.642733,quite,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,quite,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
1,japa,american,terms_unigram,2924,9240,482,509,16.4843,5.5087,10.9756,2.9919,67.829453,american,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,american,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
2,japa,submitted,terms_unigram,2924,9240,355,68,12.1409,0.7359,11.405,16.3962,67.003421,submitted,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,submitted,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
6,japa,psychiatry,terms_unigram,2924,9240,432,549,14.7743,5.9416,8.8327,2.4866,53.621147,psychiatry,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,psychiatry,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
8,japa,fax,terms_unigram,2924,9240,249,8,8.5157,0.0866,8.4292,92.7352,46.541232,fax,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,fax,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
10,japa,training,terms_unigram,2924,9240,486,1002,16.6211,10.8442,5.7769,1.5332,35.749052,training,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,training,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
11,japa,behavior,terms_unigram,2924,9240,225,181,7.6949,1.9589,5.7361,3.9252,31.092536,behavior,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,behavior,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
12,japa,supervising,terms_unigram,2924,9240,278,381,9.5075,4.1234,5.3841,2.3063,30.319274,supervising,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,supervising,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
14,japa,ego,terms_unigram,2924,9240,473,1057,16.1765,11.4394,4.7371,1.4146,29.186111,ego,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,ego,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
15,japa,defense,terms_unigram,2924,9240,196,131,6.7031,1.4177,5.2854,4.721,27.923832,defense,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,defense,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
16,japa,meeting,terms_unigram,2924,9240,229,270,7.8317,2.9221,4.9097,2.6805,26.699117,meeting,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,meeting,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
18,japa,psychoanalysts,terms_unigram,2924,9240,283,522,9.6785,5.6494,4.0292,1.7142,22.760688,psychoanalysts,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,psychoanalysts,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
19,japa,medical,terms_unigram,2924,9240,275,502,9.4049,5.4329,3.972,1.7321,22.324369,medical,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,medical,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
21,japa,december,terms_unigram,2924,9240,153,95,5.2326,1.0281,4.2044,5.0781,21.177462,december,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,december,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
25,japa,columbia,terms_unigram,2924,9240,141,127,4.8222,1.3745,3.4477,3.5062,17.086218,columbia,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,columbia,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
26,japa,panel,terms_unigram,2924,9240,150,172,5.13,1.8615,3.2685,2.7564,16.398914,panel,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,panel,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
27,japa,medicine,terms_unigram,2924,9240,177,267,6.0534,2.8896,3.1637,2.0964,16.393822,medicine,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,medicine,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
28,japa,defenses,terms_unigram,2924,9240,126,89,4.3092,0.9632,3.346,4.4654,16.208466,defenses,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,defenses,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
29,japa,fantasies,terms_unigram,2924,9240,204,366,6.9767,3.961,3.0157,1.7628,16.052629,fantasies,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,fantasies,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
30,japa,conflicts,terms_unigram,2924,9240,225,438,7.6949,4.7403,2.9547,1.6247,16.015939,conflicts,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,conflicts,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
32,japa,michigan,terms_unigram,2924,9240,122,108,4.1724,1.1688,3.0035,3.567,14.453566,michigan,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,michigan,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
33,japa,aol,terms_unigram,2924,9240,177,302,6.0534,3.2684,2.785,1.8538,14.431025,aol,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,aol,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
35,japa,park,terms_unigram,2924,9240,168,282,5.7456,3.0519,2.6936,1.8844,13.817926,park,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,park,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
36,japa,japa,terms_unigram,2924,9240,89,10,3.0438,0.1082,2.9356,26.9294,13.209419,japa,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,japa,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
38,japa,technique,terms_unigram,2924,9240,275,653,9.4049,7.0671,2.3378,1.3319,13.139515,technique,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,technique,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
40,japa,early,terms_unigram,2924,9240,480,1340,16.4159,14.5022,1.9137,1.1325,11.818783,early,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,early,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
