rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
48,1946-1969,seems,terms_unigram,1743,10421,214,520,12.2777,4.9899,7.2878,2.4627,39.13991,seems,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,seems,final_keep,kept_after_final_cleanup,True,key_terms_by_period
49,1946-1969,situation,terms_unigram,1743,10421,268,883,15.3758,8.4733,6.9025,1.8161,38.617572,situation,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,situation,final_keep,kept_after_final_cleanup,True,key_terms_by_period
50,1946-1969,observations,terms_unigram,1743,10421,195,424,11.1876,4.0687,7.1189,2.7522,37.574371,observations,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,observations,final_keep,kept_after_final_cleanup,True,key_terms_by_period
53,1946-1969,neurosis,terms_unigram,1743,10421,176,315,10.0975,3.0227,7.0748,3.3431,36.620175,neurosis,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,neurosis,final_keep,kept_after_final_cleanup,True,key_terms_by_period
56,1946-1969,neurotic,terms_unigram,1743,10421,175,318,10.0402,3.0515,6.9886,3.2929,36.1346,neurotic,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,neurotic,final_keep,kept_after_final_cleanup,True,key_terms_by_period
58,1946-1969,submitted,terms_unigram,1743,10421,165,258,9.4664,2.4758,6.9907,3.826,35.736205,submitted,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,submitted,final_keep,kept_after_final_cleanup,True,key_terms_by_period
59,1946-1969,phenomena,terms_unigram,1743,10421,211,575,12.1056,5.5177,6.5879,2.1962,35.288443,phenomena,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,phenomena,final_keep,kept_after_final_cleanup,True,key_terms_by_period
60,1946-1969,give,terms_unigram,1743,10421,190,457,10.9007,4.3854,6.5154,2.4883,34.220506,give,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,give,final_keep,kept_after_final_cleanup,True,key_terms_by_period
61,1946-1969,reality,terms_unigram,1743,10421,262,929,15.0316,8.9147,6.1169,1.6877,34.084105,reality,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,reality,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
62,1946-1969,personality,terms_unigram,1743,10421,240,792,13.7694,7.6,6.1693,1.8135,33.837494,personality,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,personality,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
63,1946-1969,period,terms_unigram,1743,10421,186,440,10.6713,4.2222,6.449,2.5301,33.735487,period,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,period,final_keep,kept_after_final_cleanup,True,key_terms_by_period
64,1946-1969,child,terms_unigram,1743,10421,286,1090,16.4085,10.4596,5.9488,1.57,33.667367,child,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,child,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
66,1946-1969,whole,terms_unigram,1743,10421,178,389,10.2123,3.7328,6.4794,2.7386,33.611306,whole,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,whole,final_keep,kept_after_final_cleanup,True,key_terms_by_period
67,1946-1969,function,terms_unigram,1743,10421,242,811,13.8841,7.7824,6.1017,1.7858,33.517262,function,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,function,final_keep,kept_after_final_cleanup,True,key_terms_by_period
69,1946-1969,interest,terms_unigram,1743,10421,217,653,12.4498,6.2662,6.1836,1.9889,33.295596,interest,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,interest,final_keep,kept_after_final_cleanup,True,key_terms_by_period
71,1946-1969,infantile,terms_unigram,1743,10421,171,350,9.8107,3.3586,6.4521,2.924,33.211987,infantile,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,infantile,final_keep,kept_after_final_cleanup,True,key_terms_by_period
72,1946-1969,means,terms_unigram,1743,10421,212,622,12.1629,5.9687,6.1942,2.04,33.209026,means,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,means,final_keep,kept_after_final_cleanup,True,key_terms_by_period
74,1946-1969,phase,terms_unigram,1743,10421,165,317,9.4664,3.0419,6.4245,3.115,32.841979,phase,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,phase,final_keep,kept_after_final_cleanup,True,key_terms_by_period
75,1946-1969,external,terms_unigram,1743,10421,195,531,11.1876,5.0955,6.0921,2.1981,32.154946,external,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,external,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
79,1946-1969,mechanisms,terms_unigram,1743,10421,173,402,9.9254,3.8576,6.0678,2.576,31.304223,mechanisms,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,mechanisms,final_keep,kept_after_final_cleanup,True,key_terms_by_period
80,1946-1969,seem,terms_unigram,1743,10421,168,369,9.6386,3.5409,6.0976,2.7251,31.28021,seem,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,seem,final_keep,kept_after_final_cleanup,True,key_terms_by_period
81,1946-1969,say,terms_unigram,1743,10421,180,456,10.327,4.3758,5.9512,2.3629,30.937518,say,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,say,final_keep,kept_after_final_cleanup,True,key_terms_by_period
82,1946-1969,terms,terms_unigram,1743,10421,243,868,13.9415,8.3293,5.6121,1.6755,30.850906,terms,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,terms,final_keep,kept_after_final_cleanup,True,key_terms_by_period
85,1946-1969,scientific,terms_unigram,1743,10421,191,533,10.9581,5.1147,5.8434,2.1451,30.72189,scientific,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,scientific,final_keep,kept_after_final_cleanup,True,key_terms_by_period
86,1946-1969,defence,terms_unigram,1743,10421,152,275,8.7206,2.6389,6.0817,3.3079,30.593586,defence,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,defence,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
89,1946-1969,deal,terms_unigram,1743,10421,155,301,8.8927,2.8884,6.0043,3.0821,30.320928,deal,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,deal,final_keep,kept_after_final_cleanup,True,key_terms_by_period
91,1946-1969,every,terms_unigram,1743,10421,171,415,9.8107,3.9823,5.8283,2.4666,30.001286,every,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,every,final_keep,kept_after_final_cleanup,True,key_terms_by_period
92,1946-1969,superego,terms_unigram,1743,10421,149,267,8.5485,2.5621,5.9863,3.3398,29.995394,superego,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,superego,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
