term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,manual_override,manual_override_note
brookline,final_keep,kept_after_final_cleanup,True,,
brookline fax,final_keep,kept_after_final_cleanup,True,,
bryan douglas,final_keep,kept_after_final_cleanup,True,,
budapest ferenczi,final_keep,kept_after_final_cleanup,True,,
buenos,final_keep,kept_after_final_cleanup,True,,
buenos aires,final_keep,kept_after_final_cleanup,True,,
busch fred,final_keep,kept_after_final_cleanup,True,,
calif,final_keep,kept_after_final_cleanup,True,,
cambridge,final_keep,kept_after_final_cleanup,True,,
cambridge mass,final_keep,kept_after_final_cleanup,True,,
cambridge massachusetts,final_keep,kept_after_final_cleanup,True,,
came,final_keep,kept_after_final_cleanup,True,,
candidates,final_keep,kept_after_final_cleanup,True,,
cannot,final_keep,kept_after_final_cleanup,True,,
capacity,final_keep,kept_after_final_cleanup,True,,
care,final_keep,kept_after_final_cleanup,True,,
carried out,final_keep,kept_after_final_cleanup,True,,
castration anxiety,final_keep,kept_after_final_cleanup,True,,
castration complex,final_keep,kept_after_final_cleanup,True,,
catalina bronstein,final_keep,kept_after_final_cleanup,True,,
cathexis,final_keep,kept_after_final_cleanup,True,,
cet,final_keep,kept_after_final_cleanup,True,,
cette,final_keep,kept_after_final_cleanup,True,,
chair,final_keep,kept_after_final_cleanup,True,,
challenges,final_keep,kept_after_final_cleanup,True,,
change,final_keep,kept_after_final_cleanup,True,,
changes,final_keep,kept_after_final_cleanup,True,,
changes mental,final_keep,kept_after_final_cleanup,True,,
character,final_keep,kept_after_final_cleanup,True,,
character disorders,final_keep,kept_after_final_cleanup,True,,
character traits,final_keep,kept_after_final_cleanup,True,,
characterised,final_keep,kept_after_final_cleanup,True,,
charles brenner,final_keep,kept_after_final_cleanup,True,,
charles fisher,final_keep,kept_after_final_cleanup,True,,
charles spezzano,final_keep,kept_after_final_cleanup,True,,
che,final_keep,kept_after_final_cleanup,True,,
chemin des,final_keep,kept_after_final_cleanup,True,,
chestnut hill,final_keep,kept_after_final_cleanup,True,,
chiesa marco,final_keep,kept_after_final_cleanup,True,,
child,final_keep,protected_psychoanalytic_term,True,,
child adolescent,final_keep,kept_after_final_cleanup,True,,
child competition,final_keep,kept_after_final_cleanup,True,,
child psychiatry,final_keep,kept_after_final_cleanup,True,,
child psychotherapists,final_keep,kept_after_final_cleanup,True,,
childhood,final_keep,kept_after_final_cleanup,True,,
childhood sexual,final_keep,kept_after_final_cleanup,True,,
children,final_keep,protected_psychoanalytic_term,True,,
children adolescents,final_keep,kept_after_final_cleanup,True,,
christopher bonovitz,final_keep,kept_after_final_cleanup,True,,
clarke jeremy,final_keep,kept_after_final_cleanup,True,,
clear,final_keep,kept_after_final_cleanup,True,,
clifton hill,final_keep,kept_after_final_cleanup,True,,
