term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
form,global_core_terms_after_audit,,,,1642,1269,10.4324,,,pending,,,form,form,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,form,final_exclude,final_stop_term,False,discriminative_candidate_terms
relation,global_core_terms_after_audit,,,,1607,1131,9.2979,,,pending,,,relation,relation,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,relation,final_exclude,final_stop_term,False,discriminative_candidate_terms
ideas,global_core_terms_after_audit,,,,1601,1182,9.7172,,,pending,,,ideas,ideas,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,ideas,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
emotional,global_core_terms_after_audit,,,,1589,1007,8.2785,,,pending,,,emotional,emotional,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,emotional,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
american,global_core_terms_after_audit,,,,1584,991,8.147,,,pending,,,american,american,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,american,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
identification,global_core_terms_after_audit,,,,1573,788,6.4781,,,pending,,,identification,identification,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,identification,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
countertransference,global_core_terms_after_audit,,,,1569,749,6.1575,,,pending,,,countertransference,countertransference,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,countertransference,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
attachment,global_core_terms_after_audit,,,,1498,423,3.4775,,,pending,,,attachment,attachment,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,attachment,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
against,global_core_terms_after_audit,,,,1459,1099,9.0349,,,pending,,,against,against,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,against,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
relations,global_core_terms_after_audit,,,,1456,882,7.2509,,,pending,,,relations,relations,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,relations,final_exclude,final_stop_term,False,discriminative_candidate_terms
language,global_core_terms_after_audit,,,,1456,709,5.8287,,,pending,,,language,language,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,language,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
death,global_core_terms_after_audit,,,,1452,741,6.0917,,,pending,,,death,death,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,death,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
meaning,global_core_terms_after_audit,,,,1447,974,8.0072,,,pending,,,meaning,meaning,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,meaning,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
love,global_core_terms_after_audit,,,,1446,681,5.5985,,,pending,,,love,love,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,love,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
now,global_core_terms_after_audit,,,,1445,1141,9.3801,,,pending,,,now,now,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,now,final_exclude,final_stop_term,False,discriminative_candidate_terms
theories,global_core_terms_after_audit,,,,1444,926,7.6126,,,pending,,,theories,theories,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,theories,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
terms,global_core_terms_after_audit,,,,1409,1111,9.1335,,,pending,,,terms,terms,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,terms,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
psycho-analysis,global_core_terms_after_audit,,,,1409,632,5.1957,,,pending,,,psycho-analysis,psycho-analysis,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,psycho-analysis,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
internal,global_core_terms_after_audit,,,,1398,940,7.7277,,,pending,,,internal,internal,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,internal,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
narcissistic,global_core_terms_after_audit,,,,1372,681,5.5985,,,pending,,,narcissistic,narcissistic,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,narcissistic,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
conflict,global_core_terms_after_audit,,,,1370,828,6.807,,,pending,,,conflict,conflict,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,conflict,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
here,global_core_terms_after_audit,,,,1365,1128,9.2733,,,pending,,,here,here,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,here,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
psychiatry,global_core_terms_after_audit,,,,1359,981,8.0648,,,pending,,,psychiatry,psychiatry,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,psychiatry,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
