rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
70,1920-1945,little boy,terms_bigram,686,11478,11,16,1.6035,0.1394,1.4641,11.6456,3.638155,little boy,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,little boy,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
71,1920-1945,outer world,terms_bigram,686,11478,12,39,1.7493,0.3398,1.4095,5.2876,3.615272,outer world,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,outer world,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
72,1920-1945,freud pointed,terms_bigram,686,11478,11,19,1.6035,0.1655,1.438,9.854,3.573207,freud pointed,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,freud pointed,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
73,1920-1945,reik theodor,terms_bigram,686,11478,10,2,1.4577,0.0174,1.4403,70.1773,3.453692,reik theodor,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,reik theodor,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
74,1920-1945,papers psycho-analysis,terms_bigram,686,11478,10,3,1.4577,0.0261,1.4316,50.1266,3.4328,papers psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,papers psycho-analysis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
76,1920-1945,ella sharpe,terms_bigram,686,11478,10,8,1.4577,0.0697,1.388,20.6404,3.328344,ella sharpe,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,ella sharpe,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
77,1920-1945,joan riviere,terms_bigram,686,11478,10,12,1.4577,0.1045,1.3532,14.0355,3.244779,joan riviere,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,joan riviere,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
79,1920-1945,theodor reik,terms_bigram,686,11478,10,13,1.4577,0.1133,1.3445,12.9958,3.223888,theodor reik,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,theodor reik,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
80,1920-1945,opposite sex,terms_bigram,686,11478,10,17,1.4577,0.1481,1.3096,10.0253,3.140323,opposite sex,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,opposite sex,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
81,1920-1945,budapest ferenczi,terms_bigram,686,11478,9,0,1.312,0.0,1.312,317.4687,3.020884,budapest ferenczi,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,budapest ferenczi,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
82,1920-1945,fourteenth international,terms_bigram,686,11478,9,0,1.312,0.0,1.312,317.4687,3.020884,fourteenth international,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,fourteenth international,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
83,1920-1945,congress lucerne,terms_bigram,686,11478,9,1,1.312,0.0087,1.3032,105.8229,3.000823,congress lucerne,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,congress lucerne,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
84,1920-1945,untranslated freud,terms_bigram,686,11478,9,2,1.312,0.0174,1.2945,63.4937,2.980763,untranslated freud,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,untranslated freud,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
85,1920-1945,riviere joan,terms_bigram,686,11478,9,3,1.312,0.0261,1.2858,45.3527,2.960702,riviere joan,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,riviere joan,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
86,1920-1945,ferenczi budapest,terms_bigram,686,11478,9,3,1.312,0.0261,1.2858,45.3527,2.960702,ferenczi budapest,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,ferenczi budapest,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
87,1920-1945,laid down,terms_bigram,686,11478,10,27,1.4577,0.2352,1.2225,6.3798,2.931411,laid down,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,laid down,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
88,1920-1945,early stages,terms_bigram,686,11478,11,49,1.6035,0.4269,1.1766,3.8819,2.923728,early stages,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,early stages,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
90,1920-1945,outside world,terms_bigram,686,11478,11,50,1.6035,0.4356,1.1679,3.805,2.902079,outside world,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,outside world,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
