journal_key,period,semantic_family,n_articles,n_family_hits,n_articles_group,pct_articles_group
ijpa,1970-1989,body_sexuality_gender,194,194,915,21.2022
ijpa,1970-1989,language_narrative_symbolization,244,244,915,26.6667
ijpa,1970-1989,culture_race_social_ethics,122,122,915,13.3333
ijpa,1970-1989,empirical_research_measurement,117,117,915,12.7869
ijpa,1970-1989,history_theory_schools,354,354,915,38.6885
ijpa,1990-2009,drive_conflict_defense,481,481,1396,34.4556
ijpa,1990-2009,dream_fantasy_unconscious,524,524,1396,37.5358
ijpa,1990-2009,ego_self_narcissism,532,532,1396,38.1089
ijpa,1990-2009,object_relations,484,484,1396,34.6705
ijpa,1990-2009,kleinian_bionian,148,148,1396,10.6017
ijpa,1990-2009,winnicottian_environment_holding,222,222,1396,15.9026
ijpa,1990-2009,attachment_development_infant,452,452,1396,32.3782
ijpa,1990-2009,transference_countertransference,374,374,1396,26.7908
ijpa,1990-2009,technique_interpretation_process,468,468,1396,33.5244
ijpa,1990-2009,relational_intersubjective_field,485,485,1396,34.7421
ijpa,1990-2009,trauma_dissociation_affect_regulation,460,460,1396,32.9513
ijpa,1990-2009,psychosis_borderline_primitive_states,147,147,1396,10.5301
ijpa,1990-2009,body_sexuality_gender,263,263,1396,18.8395
ijpa,1990-2009,language_narrative_symbolization,399,399,1396,28.5817
ijpa,1990-2009,culture_race_social_ethics,254,254,1396,18.1948
ijpa,1990-2009,empirical_research_measurement,164,164,1396,11.7479
ijpa,1990-2009,history_theory_schools,442,442,1396,31.6619
ijpa,2010-2025,drive_conflict_defense,395,395,1221,32.3505
ijpa,2010-2025,dream_fantasy_unconscious,407,407,1221,33.3333
ijpa,2010-2025,ego_self_narcissism,424,424,1221,34.7256
ijpa,2010-2025,object_relations,408,408,1221,33.4152
ijpa,2010-2025,kleinian_bionian,166,166,1221,13.5954
ijpa,2010-2025,winnicottian_environment_holding,214,214,1221,17.5266
ijpa,2010-2025,attachment_development_infant,436,436,1221,35.7084
ijpa,2010-2025,transference_countertransference,248,248,1221,20.3112
ijpa,2010-2025,technique_interpretation_process,358,358,1221,29.3202
ijpa,2010-2025,relational_intersubjective_field,425,425,1221,34.8075
ijpa,2010-2025,trauma_dissociation_affect_regulation,373,373,1221,30.5487
ijpa,2010-2025,psychosis_borderline_primitive_states,131,131,1221,10.7289
ijpa,2010-2025,body_sexuality_gender,254,254,1221,20.8026
ijpa,2010-2025,language_narrative_symbolization,334,334,1221,27.3546
ijpa,2010-2025,culture_race_social_ethics,328,328,1221,26.8632
ijpa,2010-2025,empirical_research_measurement,98,98,1221,8.0262
ijpa,2010-2025,history_theory_schools,450,450,1221,36.855
japa,1946-1969,drive_conflict_defense,252,252,538,46.8401
japa,1946-1969,dream_fantasy_unconscious,222,222,538,41.2639
japa,1946-1969,ego_self_narcissism,256,256,538,47.5836
japa,1946-1969,object_relations,156,156,538,28.9963
japa,1946-1969,kleinian_bionian,2,2,538,0.3717
japa,1946-1969,winnicottian_environment_holding,119,119,538,22.119
japa,1946-1969,attachment_development_infant,237,237,538,44.052
japa,1946-1969,transference_countertransference,89,89,538,16.5428
japa,1946-1969,technique_interpretation_process,134,134,538,24.9071
japa,1946-1969,relational_intersubjective_field,150,150,538,27.881
japa,1946-1969,trauma_dissociation_affect_regulation,169,169,538,31.4126
japa,1946-1969,psychosis_borderline_primitive_states,62,62,538,11.5242
japa,1946-1969,body_sexuality_gender,130,130,538,24.1636
japa,1946-1969,language_narrative_symbolization,120,120,538,22.3048
japa,1946-1969,culture_race_social_ethics,80,80,538,14.8699
japa,1946-1969,empirical_research_measurement,70,70,538,13.0112
japa,1946-1969,history_theory_schools,208,208,538,38.6617
