keyword,first,second,ratio
psychoterapia zorientowana psychoanalitycznie,0.0,1.0,2.0
psychonalityczne,0.0,1.0,2.0
zasoby w psychoterapii,0.0,1.0,2.0
psychopatologia,0.0,1.0,2.0
psychoterapeuci,0.0,1.0,2.0
zaufanie,0.0,1.0,2.0
psychoterapia diady,0.0,1.0,2.0
psychoterapia dzieci i młodzieży,0.0,1.0,2.0
założenia na temat świata,0.0,1.0,2.0
psychoterapia ericksonowska,0.0,1.0,2.0
zaburzenie obsesyjno-kompulsyjne,0.0,1.0,2.0
"Schizofrenia, psychoterapia indywidualna, organizacja leczenia",0.0,1.0,2.0
Superwizja,0.0,1.0,2.0
Terapia Wielorodzinna (MFT),0.0,1.0,2.0
Terapia hybrydowa,0.0,1.0,2.0
Trening Zastępowania Agresji ART,0.0,1.0,2.0
Zespół stresu pourazowego,0.0,1.0,2.0
wypalenie zawodowe,0.0,1.0,2.0
zaburzenia neurorozwojowe,0.0,1.0,2.0
wystrój gabinetu terapeutycznego,0.0,1.0,2.0
wywiad narracyjny,0.0,1.0,2.0
wzajemne zaufanie,0.0,1.0,2.0
włączanie dzieci do terapii,0.0,1.0,2.0
zaburzenia psychiczne dzieci i młodzieży,0.0,1.0,2.0
zaburzenie afektywne dwubiegunowe,0.0,1.0,2.0
żałoba,0.0,1.0,2.0
DSM-5,0.0,1.0,2.0
zespół Aspergera,0.0,1.0,2.0
zespół impostora,0.0,1.0,2.0
zespół reflektujący,0.0,1.0,2.0
zaburzenia jedzenia,0.0,1.0,2.0
ślady przeżycia utraty,0.0,1.0,2.0
Choroby przewlekłe,0.0,1.0,2.0
psychoterapia oparta na przeniesieniu,0.0,1.0,2.0
psychoterapia par,0.0,1.0,2.0
adaptacja psychologiczna,0.0,1.0,2.0
psychoterapia poznawczo – behawioralna,0.0,1.0,2.0
agresja,0.0,1.0,2.0
psychoterapia poznawczo-egzystencjalna,0.0,1.0,2.0
agresja kobiet,0.0,1.0,2.0
ambulatoryja terapia grupowa,0.0,1.0,2.0
środowiskowy system opieki,0.0,1.0,2.0
trauma,1.0,2.0,1.5
rekonsolidacja pamięci,1.0,1.0,1.0
PTSD,2.0,2.0,1.0
zaburzenia nerwicowe,1.0,1.0,1.0
drop-out,1.0,1.0,1.0
władza,1.0,1.0,1.0
terapia par,9.0,8.0,0.9
disorder,9.0,6.0,0.7
borderline,9.0,6.0,0.7
perspektywa rozwojowa,9.0,6.0,0.7
kryzys relacyjny,9.0,6.0,0.7
integracja ciała i umysłu,9.0,6.0,0.7
Szekspir,9.0,6.0,0.7
Internet,2.0,1.0,0.6666666666666666
supervision,2.0,1.0,0.6666666666666666
personality,10.0,6.0,0.6363636363636364
zastępczy wzrost potraumatyczny,9.0,5.0,0.6
psychoanalityczna terapia par,9.0,5.0,0.6
samotność terapeuty,9.0,5.0,0.6
zastępcza trauma,9.0,5.0,0.6
zagrożenia zawodowe terapeutów,9.0,5.0,0.6
kontakt seksualny z klientem,9.0,5.0,0.6
psychoanalytical approach,1.0,0.0,0.5
psychotherapeutic,1.0,0.0,0.5
psychotherapy in education system,1.0,0.0,0.5
psychotherapeutic approach,1.0,0.0,0.5
psychotraumatology,1.0,0.0,0.5
psychotherapy outcomes,1.0,0.0,0.5
Jacob Levi Moreno,1.0,0.0,0.5
J. P. Sartre,1.0,0.0,0.5
paternal behaviour,1.0,0.0,0.5
relation,1.0,0.0,0.5
relation trauma,1.0,0.0,0.5
relaxing music,1.0,0.0,0.5
resistence in psychotherapy,1.0,0.0,0.5
przemoc w opiece,1.0,0.0,0.5
psychological help for children and their parents,1.0,0.0,0.5
psychodynamic theory,1.0,0.0,0.5
"prawda, logika matematyczna, język, przeniesienie",1.0,0.0,0.5
regulation of emotions,1.0,0.0,0.5
relacja z osobą-pomiotem opieki,1.0,0.0,0.5
poszukiwanie sensu,1.0,0.0,0.5
preparing to marriage,1.0,0.0,0.5
pregnancy,1.0,0.0,0.5
refleksyjność,1.0,0.0,0.5
