rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family
55,los angeles,2,125,110,2.028,5423,pending,ijpa_high_frequency_recon,
56,analyst patient,2,124,110,2.028,5423,pending,ijpa_high_frequency_recon,
57,psychoanalytic training,2,123,69,1.272,5423,pending,ijpa_high_frequency_recon,
58,mental functioning,2,122,95,1.752,5423,pending,ijpa_high_frequency_recon,
59,training analysis,2,122,51,0.94,5423,pending,ijpa_high_frequency_recon,
60,child analysis,2,121,55,1.014,5423,pending,ijpa_high_frequency_recon,development_attachment
61,otto kernberg,2,120,31,0.572,5423,pending,ijpa_high_frequency_recon,
62,take place,2,117,109,2.01,5423,pending,ijpa_high_frequency_recon,
63,clinical work,2,117,96,1.77,5423,pending,ijpa_high_frequency_recon,
64,york usa,2,116,96,1.77,5423,pending,ijpa_high_frequency_recon,
65,psycho-analytic theory,2,115,78,1.438,5423,pending,ijpa_high_frequency_recon,technique_process
66,common ground,2,115,51,0.94,5423,pending,ijpa_high_frequency_recon,
67,difference between,2,113,103,1.899,5423,pending,ijpa_high_frequency_recon,
68,psycho-analytic treatment,2,113,68,1.254,5423,pending,ijpa_high_frequency_recon,technique_process
69,john steiner,2,113,29,0.535,5423,pending,ijpa_high_frequency_recon,
70,defence against,2,111,86,1.586,5423,pending,ijpa_high_frequency_recon,
71,internal objects,2,111,71,1.309,5423,pending,ijpa_high_frequency_recon,object_relations
72,repetition compulsion,2,110,49,0.904,5423,pending,ijpa_high_frequency_recon,
73,british psycho-analytical,2,109,67,1.235,5423,pending,ijpa_high_frequency_recon,
74,psychoanalytic association,2,109,83,1.531,5423,pending,ijpa_high_frequency_recon,
75,primal scene,2,108,46,0.848,5423,pending,ijpa_high_frequency_recon,
76,michael balint,2,108,29,0.535,5423,pending,ijpa_high_frequency_recon,
77,therapeutic action,2,104,48,0.885,5423,pending,ijpa_high_frequency_recon,technique_process
78,clinical prize,2,104,31,0.572,5423,pending,ijpa_high_frequency_recon,
79,aol com,2,104,102,1.881,5423,pending,ijpa_high_frequency_recon,
80,theory technique,2,103,70,1.291,5423,pending,ijpa_high_frequency_recon,technique_process
81,clinical experience,2,103,96,1.77,5423,pending,ijpa_high_frequency_recon,
82,aires argentina,2,103,74,1.365,5423,pending,ijpa_high_frequency_recon,
83,two years,2,102,90,1.66,5423,pending,ijpa_high_frequency_recon,
84,relation between,2,102,86,1.586,5423,pending,ijpa_high_frequency_recon,
85,one another,2,102,98,1.807,5423,pending,ijpa_high_frequency_recon,
86,robert wallerstein,2,102,27,0.498,5423,pending,ijpa_high_frequency_recon,
87,death drive,2,102,46,0.848,5423,pending,ijpa_high_frequency_recon,
88,first time,2,101,94,1.733,5423,pending,ijpa_high_frequency_recon,
89,psycho-analytical association,2,101,63,1.162,5423,pending,ijpa_high_frequency_recon,
90,analytic relationship,2,101,77,1.42,5423,pending,ijpa_high_frequency_recon,technique_process
91,herbert rosenfeld,2,101,23,0.424,5423,pending,ijpa_high_frequency_recon,
92,psycho-analytical congress,2,100,78,1.438,5423,pending,ijpa_high_frequency_recon,
93,heinz weiss,2,100,29,0.535,5423,pending,ijpa_high_frequency_recon,
94,castration complex,2,99,42,0.774,5423,pending,ijpa_high_frequency_recon,
95,differences between,2,98,88,1.623,5423,pending,ijpa_high_frequency_recon,
96,free association,2,98,61,1.125,5423,pending,ijpa_high_frequency_recon,
97,put forward,2,98,93,1.715,5423,pending,ijpa_high_frequency_recon,
98,external reality,2,98,77,1.42,5423,pending,ijpa_high_frequency_recon,
99,object relationship,2,98,56,1.033,5423,pending,ijpa_high_frequency_recon,object_relations
100,hanna segal,2,98,27,0.498,5423,pending,ijpa_high_frequency_recon,
101,joseph sandler,2,98,33,0.609,5423,pending,ijpa_high_frequency_recon,
102,takes place,2,97,91,1.678,5423,pending,ijpa_high_frequency_recon,
103,thinking about,2,97,77,1.42,5423,pending,ijpa_high_frequency_recon,
104,street london,2,97,84,1.549,5423,pending,ijpa_high_frequency_recon,
105,east street,2,97,97,1.789,5423,pending,ijpa_high_frequency_recon,
106,andr green,2,97,40,0.738,5423,pending,ijpa_high_frequency_recon,
107,harold blum,2,96,24,0.443,5423,pending,ijpa_high_frequency_recon,
108,freud's theory,2,95,65,1.199,5423,pending,ijpa_high_frequency_recon,
109,psychoanalytic practice,2,94,65,1.199,5423,pending,ijpa_high_frequency_recon,
110,other words,2,93,88,1.623,5423,pending,ijpa_high_frequency_recon,
111,melanie klein's,2,93,58,1.07,5423,pending,ijpa_high_frequency_recon,
112,interpretation dreams,2,91,56,1.033,5423,pending,ijpa_high_frequency_recon,technique_process
113,analytic treatment,2,90,74,1.365,5423,pending,ijpa_high_frequency_recon,technique_process
114,infantile sexuality,2,90,48,0.885,5423,pending,ijpa_high_frequency_recon,body_sexuality
