article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,keyword_url,normalization_actions,keyword_norm_id
147328,"https://www.archivespp.pl/Editorial,147328,0,2.html",2022,24,1,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
147328,"https://www.archivespp.pl/Editorial,147328,0,2.html",2022,24,1,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
147328,"https://www.archivespp.pl/Editorial,147328,0,2.html",2022,24,1,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
150709,"https://www.archivespp.pl/Editorial,150709,0,2.html",2022,24,2,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
150709,"https://www.archivespp.pl/Editorial,150709,0,2.html",2022,24,2,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
150709,"https://www.archivespp.pl/Editorial,150709,0,2.html",2022,24,2,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
154925,"https://www.archivespp.pl/Editorial,154925,0,2.html",2022,24,3,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
154925,"https://www.archivespp.pl/Editorial,154925,0,2.html",2022,24,3,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
154925,"https://www.archivespp.pl/Editorial,154925,0,2.html",2022,24,3,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
157046,"https://www.archivespp.pl/Editorial,157046,0,2.html",2022,24,4,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
157046,"https://www.archivespp.pl/Editorial,157046,0,2.html",2022,24,4,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
157046,"https://www.archivespp.pl/Editorial,157046,0,2.html",2022,24,4,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
162354,"https://www.archivespp.pl/Editorial,162354,0,2.html",2023,25,1,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
162354,"https://www.archivespp.pl/Editorial,162354,0,2.html",2023,25,1,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
162354,"https://www.archivespp.pl/Editorial,162354,0,2.html",2023,25,1,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
168872,"https://www.archivespp.pl/Editorial,168872,0,2.html",2023,25,2,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
168872,"https://www.archivespp.pl/Editorial,168872,0,2.html",2023,25,2,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
168872,"https://www.archivespp.pl/Editorial,168872,0,2.html",2023,25,2,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
172874,"https://www.archivespp.pl/From-editors,172874,0,2.html",2023,25,3,From editors,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
172874,"https://www.archivespp.pl/From-editors,172874,0,2.html",2023,25,3,From editors,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
172874,"https://www.archivespp.pl/From-editors,172874,0,2.html",2023,25,3,From editors,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
176266,"https://www.archivespp.pl/Editorial,176266,0,2.html",2023,25,4,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
176266,"https://www.archivespp.pl/Editorial,176266,0,2.html",2023,25,4,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
176266,"https://www.archivespp.pl/Editorial,176266,0,2.html",2023,25,4,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
186675,"https://www.archivespp.pl/Editorial,186675,0,2.html",2024,26,1,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
186675,"https://www.archivespp.pl/Editorial,186675,0,2.html",2024,26,1,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
186675,"https://www.archivespp.pl/Editorial,186675,0,2.html",2024,26,1,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
190383,"https://www.archivespp.pl/Editorial,190383,0,2.html",2024,26,2,Editorial,1,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
190383,"https://www.archivespp.pl/Editorial,190383,0,2.html",2024,26,2,Editorial,2,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
190383,"https://www.archivespp.pl/Editorial,190383,0,2.html",2024,26,2,Editorial,3,editorial 3,editorial 3,editorial,editorial,app_sem_0520,exact_map:editorial 3->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+3/354963,unchanged,app_kw_0541
192586,"https://www.archivespp.pl/Editorial,192586,0,2.html",2024,26,3,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
192586,"https://www.archivespp.pl/Editorial,192586,0,2.html",2024,26,3,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
192586,"https://www.archivespp.pl/Editorial,192586,0,2.html",2024,26,3,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
200265,"https://www.archivespp.pl/Editorial,200265,0,2.html",2024,26,4,Editorial,2,Editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-Editorial/367395,lowercase,app_kw_0538
207340,"https://www.archivespp.pl/Editorial,207340,0,2.html",2025,27,2,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
207340,"https://www.archivespp.pl/Editorial,207340,0,2.html",2025,27,2,Editorial,2,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
207340,"https://www.archivespp.pl/Editorial,207340,0,2.html",2025,27,2,Editorial,3,editorial 3,editorial 3,editorial,editorial,app_sem_0520,exact_map:editorial 3->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+3/354963,unchanged,app_kw_0541
211687,"https://www.archivespp.pl/From-editors,211687,0,2.html",2025,27,3,From editors,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
211687,"https://www.archivespp.pl/From-editors,211687,0,2.html",2025,27,3,From editors,2,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
211687,"https://www.archivespp.pl/From-editors,211687,0,2.html",2025,27,3,From editors,3,editorial 3,editorial 3,editorial,editorial,app_sem_0520,exact_map:editorial 3->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+3/354963,unchanged,app_kw_0541
211687,"https://www.archivespp.pl/From-editors,211687,0,2.html",2025,27,3,From editors,4,editorial 4,editorial 4,editorial,editorial,app_sem_0520,exact_map:editorial 4->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+4/702995,unchanged,app_kw_0542
215842,"https://www.archivespp.pl/Editorial,215842,0,2.html",2025,27,4,Editorial,2,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
215842,"https://www.archivespp.pl/Editorial,215842,0,2.html",2025,27,4,Editorial,3,editorial 3,editorial 3,editorial,editorial,app_sem_0520,exact_map:editorial 3->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+3/354963,unchanged,app_kw_0541
