keyword_raw,keyword_norm,keyword_norm_id,normalization_actions,n_records,n_articles,first_year,last_year
close relationships,close relationships,app_kw_0287,unchanged,1,1,2022,2022
clozapine,clozapine,app_kw_0288,unchanged,1,1,2023,2023
Cluster A,cluster a,app_kw_0289,lowercase,1,1,2021,2021
cluster B,cluster b,app_kw_0290,lowercase,1,1,2016,2016
co-dependence,co-dependence,app_kw_0291,unchanged,1,1,2020,2020
co-dependent mothers,co-dependent mothers,app_kw_0292,unchanged,1,1,2020,2020
co-morbidity,co-morbidity,app_kw_0293,unchanged,1,1,2019,2019
CO2,co2,app_kw_0294,lowercase,1,1,2006,2006
code of ethics,code of ethics,app_kw_0295,unchanged,1,1,2022,2022
codependency,codependency,app_kw_0296,unchanged,1,1,2025,2025
cognition,cognition,app_kw_0297,unchanged,1,1,2016,2016
cognitive,cognitive,app_kw_0298,unchanged,2,2,2013,2019
cognitive appraisal,cognitive appraisal,app_kw_0299,unchanged,1,1,2005,2005
cognitive approach,cognitive approach,app_kw_0300,unchanged,1,1,2008,2008
cognitive behavioral therapy,cognitive behavioral therapy,app_kw_0301,unchanged,2,2,2012,2016
cognitive behaviour therapy,cognitive behaviour therapy,app_kw_0302,unchanged,1,1,2012,2012
cognitive behavioural therapy,cognitive behavioural therapy,app_kw_0303,unchanged,1,1,2018,2018
cognitive biases,cognitive biases,app_kw_0304,unchanged,1,1,2022,2022
cognitive control,cognitive control,app_kw_0305,unchanged,2,2,2018,2024
cognitive deficits,cognitive deficits,app_kw_0306,unchanged,1,1,2009,2009
cognitive dysfunctions,cognitive dysfunctions,app_kw_0307,unchanged,2,2,2007,2008
Cognitive Dysmetria,cognitive dysmetria,app_kw_0308,lowercase,1,1,2013,2013
Cognitive Error Rating Scale,cognitive error rating scale,app_kw_0309,lowercase,1,1,2012,2012
cognitive errors,cognitive errors,app_kw_0310,unchanged,2,2,2012,2018
cognitive flexibility,cognitive flexibility,app_kw_0311,unchanged,1,1,2020,2020
Cognitive function,cognitive function,app_kw_0312,lowercase,2,2,2020,2021
cognitive function,cognitive function,app_kw_0312,unchanged,1,1,2012,2012
cognitive functioning,cognitive functioning,app_kw_0313,unchanged,1,1,2019,2019
cognitive functions,cognitive functions,app_kw_0314,unchanged,8,8,2005,2025
Cognitive Impairment in AUD,cognitive impairment in aud,app_kw_0315,lowercase,1,1,2018,2018
cognitive impairments,cognitive impairments,app_kw_0316,unchanged,1,1,2025,2025
cognitive inhibition,cognitive inhibition,app_kw_0317,unchanged,1,1,2024,2024
cognitive processing of trauma,cognitive processing of trauma,app_kw_0318,unchanged,1,1,2023,2023
Cognitive Processing Therapy,cognitive processing therapy,app_kw_0319,lowercase,1,1,2025,2025
cognitive psychotherapy,cognitive psychotherapy,app_kw_0320,unchanged,1,1,2008,2008
cognitive restraint,cognitive restraint,app_kw_0321,unchanged,1,1,2017,2017
cognitive restructuring,cognitive restructuring,app_kw_0322,unchanged,1,1,2016,2016
cognitive rigidity,cognitive rigidity,app_kw_0323,unchanged,1,1,2012,2012
cognitive trauma processing,cognitive trauma processing,app_kw_0324,unchanged,1,1,2024,2024
cognitive triad,cognitive triad,app_kw_0325,unchanged,1,1,2014,2014
cognitive- behavioral therapy,cognitive-behavioral therapy,app_kw_0326,hyphen_spacing,1,1,2023,2023
cognitive-behavioral therapy,cognitive-behavioral therapy,app_kw_0326,unchanged,2,2,2005,2025
coherence,coherence,app_kw_0327,unchanged,1,1,2025,2025
collective memory,collective memory,app_kw_0328,unchanged,1,1,2016,2016
common factors,common factors,app_kw_0329,unchanged,1,1,2018,2018
communication,communication,app_kw_0330,unchanged,1,1,2022,2022
communication competences,communication competences,app_kw_0331,unchanged,1,1,2020,2020
community,community,app_kw_0332,unchanged,1,1,2016,2016
community care,community care,app_kw_0333,unchanged,1,1,2009,2009
Community mental health services,community mental health services,app_kw_0334,lowercase,1,1,2014,2014
community psychiatry,community psychiatry,app_kw_0335,unchanged,1,1,2009,2009
community social support,community social support,app_kw_0336,unchanged,1,1,2005,2005
community treatment programme,community treatment programme,app_kw_0337,unchanged,1,1,2009,2009
comorbidity,comorbidity,app_kw_0338,unchanged,8,8,2005,2020
comparative studies,comparative studies,app_kw_0339,unchanged,1,1,2023,2023
compassion,compassion,app_kw_0340,unchanged,1,1,2013,2013
compassion for others,compassion for others,app_kw_0341,unchanged,1,1,2024,2024
Competence,competence,app_kw_0342,lowercase,1,1,2008,2008
complex post-traumatic states,complex post-traumatic states,app_kw_0343,unchanged,1,1,2016,2016
complex posttraumatic states,complex posttraumatic states,app_kw_0344,unchanged,1,1,2013,2013
Complex-PTSD,complex-ptsd,app_kw_0345,lowercase,1,1,2008,2008
compliance,compliance,app_kw_0346,unchanged,5,5,2005,2011
compulsive sexual behavior disorders,compulsive sexual behavior disorders,app_kw_0347,unchanged,1,1,2024,2024
compulsory treatment/compulsory order,compulsory treatment/compulsory order,app_kw_0348,unchanged,1,1,2006,2006
computer,computer,app_kw_0349,unchanged,1,1,2010,2010
