keyword_norm_a,keyword_norm_b,count_a,count_b,similarity,candidate_reason,decision_status
disability,social disability,3,2,0.741,containment,review_required
resistance,jewish resistance,2,1,0.741,containment,review_required
caregivers,family caregivers,1,1,0.741,containment,review_required
social support,community social support,9,1,0.737,containment,review_required
parents,grandparents,2,1,0.737,containment,review_required
support,peer support,1,1,0.737,containment,review_required
weight loss therapy,weight loss,1,1,0.733,containment,review_required
quality of life,subjective quality of life,9,1,0.732,containment,review_required
bipolar disorder,spectrum of bipolar disorder,12,1,0.727,containment,review_required
eating disorders,feeding and eating disorders,8,1,0.727,containment,review_required
attitude,attitude scale,7,1,0.727,containment,review_required
attitude,body attitudes,7,1,0.727,containment,review_required
panic disorder,disorder,6,1,0.727,containment,review_required
emotions,moral emotions,2,1,0.727,containment,review_required
emotions,dream emotions,2,1,0.727,containment,review_required
identity,identity quest,2,1,0.727,containment,review_required
sibling relationships,relationship,1,1,0.727,containment,review_required
disorder,sleep disorder,1,1,0.727,containment,review_required
relationship,relationship patterns,1,1,0.727,containment,review_required
anxiety disorder,generalized anxiety disorder,1,1,0.727,containment,review_required
instinct,death instinct,1,1,0.727,containment,review_required
psychotherapy,long-term psychotherapy,39,2,0.722,containment,review_required
psychotherapy,humour in psychotherapy,39,1,0.722,containment,review_required
psychotherapy,cognitive psychotherapy,39,1,0.722,containment,review_required
first-episode,first-episode psychosis,2,1,0.722,containment,review_required
psychosis,shared psychosis,16,1,0.72,containment,review_required
treatment,forced treatment,8,1,0.72,containment,review_required
eating disorders,disorders,8,1,0.72,containment,review_required
mental disorders,disorders,6,1,0.72,containment,review_required
parenting styles,parenting,3,1,0.72,containment,review_required
cognitive errors,cognitive,2,2,0.72,containment,review_required
cognitive,cognitive biases,2,1,0.72,containment,review_required
eating attitudes,attitudes,2,1,0.72,containment,review_required
signal detection,detection,2,1,0.72,containment,review_required
disorders,phobic disorders,1,1,0.72,containment,review_required
disorders,sexual disorders,1,1,0.72,containment,review_required
childhood trauma,childhood,1,1,0.72,containment,review_required
1-year follow-up,follow-up,1,1,0.72,containment,review_required
psychiatry,dynamic psychiatry,9,1,0.714,containment,review_required
body image,body image concern,8,1,0.714,containment,review_required
alcohol dependence,dependence,6,3,0.714,containment,review_required
defense mechanisms,mechanisms,4,1,0.714,containment,review_required
psychology,medical psychology,2,1,0.714,containment,review_required
philosophy,philosophy of life,2,1,0.714,containment,review_required
resistance,insulin resistance,2,1,0.714,containment,review_required
self-regulation,self-regulation competences,2,1,0.714,containment,review_required
defence mechanisms,mechanisms,2,1,0.714,containment,review_required
statistics,medical statistics,1,1,0.714,containment,review_required
factor analysis,exploratory factor analysis,1,1,0.714,containment,review_required
personality,neurotic personality,9,1,0.71,containment,review_required
personality,personality disorder,9,1,0.71,containment,review_required
