rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
107,against,1,863,629,11.599,5423,pending,ijpa_high_frequency_recon,,against,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
108,further,1,863,695,12.816,5423,pending,ijpa_high_frequency_recon,,further,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
109,much,1,856,695,12.816,5423,pending,ijpa_high_frequency_recon,,much,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
110,before,1,852,704,12.982,5423,pending,ijpa_high_frequency_recon,,before,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
111,ideas,1,852,613,11.304,5423,pending,ijpa_high_frequency_recon,,ideas,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
112,problems,1,852,587,10.824,5423,pending,ijpa_high_frequency_recon,,problems,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
113,research,1,851,466,8.593,5423,pending,ijpa_high_frequency_recon,,research,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
114,psychology,1,845,464,8.556,5423,pending,ijpa_high_frequency_recon,,psychology,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
115,human,1,844,579,10.677,5423,pending,ijpa_high_frequency_recon,,human,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
116,psychological,1,843,559,10.308,5423,pending,ijpa_high_frequency_recon,,psychological,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
117,com,1,842,778,14.346,5423,pending,ijpa_high_frequency_recon,,com,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
118,later,1,837,696,12.834,5423,pending,ijpa_high_frequency_recon,,later,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
119,thus,1,836,721,13.295,5423,pending,ijpa_high_frequency_recon,,thus,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
120,internal,1,828,526,9.699,5423,pending,ijpa_high_frequency_recon,,internal,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
121,here,1,826,658,12.134,5423,pending,ijpa_high_frequency_recon,,here,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
122,objects,1,826,477,8.796,5423,pending,ijpa_high_frequency_recon,object_relations,objects,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
123,place,1,824,663,12.226,5423,pending,ijpa_high_frequency_recon,,place,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
124,die,1,818,169,3.116,5423,pending,ijpa_high_frequency_recon,,die,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
126,children,1,813,444,8.187,5423,pending,ijpa_high_frequency_recon,development_attachment,children,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
127,narcissistic,1,813,394,7.265,5423,pending,ijpa_high_frequency_recon,self_narcissism,narcissistic,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
