rank_within_group,journal_key,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
21,ijpa,1946-1969,members international,terms_bigram,1205,10959,23,4,1.9087,0.0365,1.8722,47.459,5.949997
22,ijpa,1946-1969,instinctual drives,terms_bigram,1205,10959,25,37,2.0747,0.3376,1.7371,6.1798,5.659531
23,ijpa,1946-1969,ego superego,terms_bigram,1205,10959,29,83,2.4066,0.7574,1.6493,3.2107,5.609495
24,ijpa,1946-1969,mental life,terms_bigram,1205,10959,35,150,2.9046,1.3687,1.5358,2.1437,5.503663
25,ijpa,1946-1969,michael balint,terms_bigram,1205,10959,22,11,1.8257,0.1004,1.7254,17.7807,5.409831
26,ijpa,1946-1969,great deal,terms_bigram,1205,10959,28,81,2.3237,0.7391,1.5845,3.178,5.335591
27,ijpa,1946-1969,object relationship,terms_bigram,1205,10959,26,64,2.1577,0.584,1.5737,3.7338,5.186597
28,ijpa,1946-1969,news notes,terms_bigram,1205,10959,20,0,1.6598,0.0,1.6598,372.6036,5.053149
29,ijpa,1946-1969,psycho-analytic study,terms_bigram,1205,10959,20,6,1.6598,0.0547,1.605,28.6618,4.886463
30,ijpa,1946-1969,well known,terms_bigram,1205,10959,27,88,2.2407,0.803,1.4377,2.8239,4.790614
31,ijpa,1946-1969,comments news,terms_bigram,1205,10959,19,0,1.5768,0.0,1.5768,354.4279,4.723561
32,ijpa,1946-1969,notes comments,terms_bigram,1205,10959,19,0,1.5768,0.0,1.5768,354.4279,4.723561
33,ijpa,1946-1969,balint michael,terms_bigram,1205,10959,19,1,1.5768,0.0091,1.5676,118.1426,4.696225
34,ijpa,1946-1969,transference situation,terms_bigram,1205,10959,21,26,1.7427,0.2372,1.5055,7.3732,4.653536
35,ijpa,1946-1969,essay prize,terms_bigram,1205,10959,20,18,1.6598,0.1642,1.4955,10.0704,4.553091
36,ijpa,1946-1969,freud himself,terms_bigram,1205,10959,24,64,1.9917,0.584,1.4077,3.452,4.531232
37,ijpa,1946-1969,point out,terms_bigram,1205,10959,22,42,1.8257,0.3832,1.4425,4.8112,4.522886
38,ijpa,1946-1969,relation external,terms_bigram,1205,10959,19,9,1.5768,0.0821,1.4946,18.6541,4.477539
39,ijpa,1946-1969,very early,terms_bigram,1205,10959,24,66,1.9917,0.6022,1.3895,3.3482,4.472488
40,ijpa,1946-1969,english language,terms_bigram,1205,10959,20,23,1.6598,0.2099,1.4499,7.9277,4.414186
41,ijpa,1946-1969,analytical situation,terms_bigram,1205,10959,19,13,1.5768,0.1186,1.4581,13.127,4.368196
42,ijpa,1946-1969,ego psychology,terms_bigram,1205,10959,27,104,2.2407,0.949,1.2917,2.3916,4.304116
