term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm
following,global_core_terms_after_audit,,,,1176,1032,8.4841,,,pending,,,following
female,global_core_terms_after_audit,,,,1170,488,4.0118,,,pending,,,female
implications,global_core_terms_after_audit,,,,1170,831,6.8316,,,pending,,,implications
scientific,global_core_terms_after_audit,,,,1166,724,5.952,,,pending,,,scientific
psychodynamic,global_core_terms_after_audit,,,,1166,487,4.0036,,,pending,,,psychodynamic
himself,global_core_terms_after_audit,,,,1164,865,7.1111,,,pending,,,himself
fantasy,global_core_terms_after_audit,,,,1161,586,4.8175,,,pending,,,fantasy
affect,global_core_terms_after_audit,,,,1157,607,4.9901,,,pending,,,affect
factors,global_core_terms_after_audit,,,,1149,782,6.4288,,,pending,,,factors
issue,global_core_terms_after_audit,,,,1146,745,6.1246,,,pending,,,issue
professor,global_core_terms_after_audit,,,,1143,974,8.0072,,,pending,,,professor
attempt,global_core_terms_after_audit,,,,1129,950,7.8099,,,pending,,,attempt
loss,global_core_terms_after_audit,,,,1121,667,5.4834,,,pending,,,loss
father,global_core_terms_after_audit,,,,1120,573,4.7106,,,pending,,,father
contribution,global_core_terms_after_audit,,,,1117,702,5.7711,,,pending,,,contribution
medical,global_core_terms_after_audit,,,,1115,777,6.3877,,,pending,,,medical
gender,global_core_terms_after_audit,,,,1114,440,3.6172,,,pending,,,gender
yet,global_core_terms_after_audit,,,,1110,992,8.1552,,,pending,,,yet
feelings,global_core_terms_after_audit,,,,1108,792,6.511,,,pending,,,feelings
play,global_core_terms_after_audit,,,,1108,633,5.2039,,,pending,,,play
phenomena,global_core_terms_after_audit,,,,1105,786,6.4617,,,pending,,,phenomena
drive,global_core_terms_after_audit,,,,1099,690,5.6725,,,pending,,,drive
papers,global_core_terms_after_audit,,,,1096,693,5.6971,,,pending,,,papers
david,global_core_terms_after_audit,,,,1095,345,2.8362,,,pending,,,david
health,global_core_terms_after_audit,,,,1084,674,5.5409,,,pending,,,health
