rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
41,japa,steven levy,terms_bigram,2924,9240,28,1,0.9576,0.0108,0.9468,60.027,3.188054
42,japa,north michigan,terms_bigram,2924,9240,32,17,1.0944,0.184,0.9104,5.8673,3.18325
43,japa,kernberg otto,terms_bigram,2924,9240,34,25,1.1628,0.2706,0.8922,4.2744,3.172181
44,japa,bonnie litowitz,terms_bigram,2924,9240,28,2,0.9576,0.0216,0.9359,36.0162,3.151611
45,japa,assistant professor,terms_bigram,2924,9240,49,82,1.6758,0.8874,0.7883,1.8956,3.084007
46,japa,los angeles,terms_bigram,2924,9240,83,198,2.8386,2.1429,0.6957,1.329,3.082609
47,japa,columbia physicians,terms_bigram,2924,9240,29,8,0.9918,0.0866,0.9052,10.9647,3.078805
48,japa,suite chicago,terms_bigram,2924,9240,36,35,1.2312,0.3788,0.8524,3.2483,3.077955
49,japa,glen gabbard,terms_bigram,2924,9240,36,35,1.2312,0.3788,0.8524,3.2483,3.077955
50,japa,ego functions,terms_bigram,2924,9240,43,61,1.4706,0.6602,0.8104,2.2346,3.066764
51,japa,presented panel,terms_bigram,2924,9240,27,3,0.9234,0.0325,0.8909,24.8232,2.968745
52,japa,transference neurosis,terms_bigram,2924,9240,48,82,1.6416,0.8874,0.7541,1.8573,2.934981
53,japa,south michigan,terms_bigram,2924,9240,28,8,0.9576,0.0866,0.871,10.593,2.932956
54,japa,blum hemlocks,terms_bigram,2924,9240,30,18,1.026,0.1948,0.8312,5.2086,2.854284
55,japa,hemlocks roslyn,terms_bigram,2924,9240,30,18,1.026,0.1948,0.8312,5.2086,2.854284
56,japa,attempt made,terms_bigram,2924,9240,44,70,1.5048,0.7576,0.7472,1.9942,2.844385
57,japa,judy kantrowitz,terms_bigram,2924,9240,27,8,0.9234,0.0866,0.8368,10.2213,2.78843
58,japa,stanley coen,terms_bigram,2924,9240,26,4,0.8892,0.0433,0.8459,18.6049,2.787958
59,japa,roslyn estates,terms_bigram,2924,9240,29,16,0.9918,0.1732,0.8186,5.6485,2.784329
60,japa,michigan suite,terms_bigram,2924,9240,28,14,0.9576,0.1515,0.8061,6.2097,2.7143
61,japa,international universities,terms_bigram,2924,9240,27,11,0.9234,0.119,0.8043,7.5549,2.680242
62,japa,universities press,terms_bigram,2924,9240,27,11,0.9234,0.119,0.8043,7.5549,2.680242
63,japa,white plains,terms_bigram,2924,9240,32,31,1.0944,0.3355,0.7589,3.2596,2.653477
64,japa,journal american,terms_bigram,2924,9240,31,29,1.0602,0.3139,0.7463,3.3735,2.586613
65,japa,harvard medical,terms_bigram,2924,9240,46,84,1.5732,0.9091,0.6641,1.7386,2.55687
66,japa,defenses against,terms_bigram,2924,9240,27,15,0.9234,0.1623,0.7611,5.6052,2.535991
67,japa,submitted january,terms_bigram,2924,9240,23,0,0.7866,0.0,0.7866,148.4879,2.499837
68,japa,winter meeting,terms_bigram,2924,9240,23,0,0.7866,0.0,0.7866,148.4879,2.499837
69,japa,theodore shapiro,terms_bigram,2924,9240,24,5,0.8208,0.0541,0.7667,14.0733,2.467851
