rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
70,1946-1969,van der,terms_bigram,1743,10421,20,13,1.1474,0.1247,1.0227,9.0745,3.11363
71,1946-1969,subject matter,terms_bigram,1743,10421,21,21,1.2048,0.2015,1.0033,5.9759,3.101252
72,1946-1969,english language,terms_bigram,1743,10421,21,22,1.2048,0.2111,0.9937,5.7103,3.071591
73,1946-1969,early stages,terms_bigram,1743,10421,23,37,1.3196,0.3551,0.9645,3.7449,3.06527
74,1946-1969,relationship mother,terms_bigram,1743,10421,22,30,1.2622,0.2879,0.9743,4.4085,3.054948
75,1946-1969,relation external,terms_bigram,1743,10421,19,9,1.0901,0.0864,1.0037,12.2664,3.006848
76,1946-1969,essay prize,terms_bigram,1743,10421,20,18,1.1474,0.1727,0.9747,6.622,2.967553
77,1946-1969,buenos aires,terms_bigram,1743,10421,41,163,2.3523,1.5641,0.7881,1.5168,2.945721
78,1946-1969,point out,terms_bigram,1743,10421,23,41,1.3196,0.3934,0.9261,3.384,2.943283
79,1946-1969,submitted june,terms_bigram,1743,10421,18,4,1.0327,0.0384,0.9943,24.5677,2.927709
80,1946-1969,castration complex,terms_bigram,1743,10421,22,35,1.2622,0.3359,0.9263,3.7876,2.904507
81,1946-1969,analytical situation,terms_bigram,1743,10421,19,13,1.0901,0.1247,0.9653,8.6319,2.89186
82,1946-1969,international congress,terms_bigram,1743,10421,21,30,1.2048,0.2879,0.9169,4.2125,2.834297
83,1946-1969,mental apparatus,terms_bigram,1743,10421,20,23,1.1474,0.2207,0.9267,5.213,2.821477
84,1946-1969,hills california,terms_bigram,1743,10421,18,10,1.0327,0.096,0.9367,10.529,2.75818
85,1946-1969,international universities,terms_bigram,1743,10421,19,19,1.0901,0.1823,0.9078,5.9759,2.719377
86,1946-1969,universities press,terms_bigram,1743,10421,19,19,1.0901,0.1823,0.9078,5.9759,2.719377
87,1946-1969,primary secondary,terms_bigram,1743,10421,22,42,1.2622,0.403,0.8592,3.1637,2.693889
88,1946-1969,human behaviour,terms_bigram,1743,10421,18,13,1.0327,0.1247,0.908,8.1892,2.673416
89,1946-1969,separation anxiety,terms_bigram,1743,10421,20,29,1.1474,0.2783,0.8692,4.1528,2.646185
90,1946-1969,aggressive impulses,terms_bigram,1743,10421,19,22,1.0901,0.2111,0.879,5.1791,2.633136
91,1946-1969,great importance,terms_bigram,1743,10421,19,22,1.0901,0.2111,0.879,5.1791,2.633136
92,1946-1969,approach problem,terms_bigram,1743,10421,17,7,0.9753,0.0672,0.9082,13.9438,2.624914
93,1946-1969,ipso facto,terms_bigram,1743,10421,17,7,0.9753,0.0672,0.9082,13.9438,2.624914
94,1946-1969,very beginning,terms_bigram,1743,10421,20,30,1.1474,0.2879,0.8596,4.0166,2.61697
95,1946-1969,secretary psycho-analysis,terms_bigram,1743,10421,16,2,0.918,0.0192,0.8988,39.4411,2.546394
96,1946-1969,bear mind,terms_bigram,1743,10421,18,18,1.0327,0.1727,0.86,5.9759,2.532141
97,1946-1969,memory traces,terms_bigram,1743,10421,17,11,0.9753,0.1056,0.8698,9.0938,2.51397
98,1946-1969,freud stated,terms_bigram,1743,10421,17,11,0.9753,0.1056,0.8698,9.0938,2.51397
99,1946-1969,ego ideal,terms_bigram,1743,10421,22,48,1.2622,0.4606,0.8016,2.7723,2.51336
100,1946-1969,greenson ralph,terms_bigram,1743,10421,16,4,0.918,0.0384,0.8796,21.9117,2.492019
1,1970-1989,object relations,terms_bigram,1758,10406,135,360,7.6792,3.4595,4.2196,2.2238,20.729627
2,1970-1989,medical center,terms_bigram,1758,10406,83,107,4.7213,1.0283,3.693,4.5956,16.363101
3,1970-1989,transference neurosis,terms_bigram,1758,10406,62,68,3.5267,0.6535,2.8733,5.3982,11.904327
4,1970-1989,chicago illinois,terms_bigram,1758,10406,46,41,2.6166,0.394,2.2226,6.6293,8.557362
5,1970-1989,psychic structure,terms_bigram,1758,10406,49,85,2.7873,0.8168,1.9704,3.4253,7.708335
6,1970-1989,ego superego,terms_bigram,1758,10406,44,68,2.5028,0.6535,1.8494,3.8435,7.039946
7,1970-1989,narcissistic personality,terms_bigram,1758,10406,36,25,2.0478,0.2402,1.8075,8.4686,6.526863
8,1970-1989,point view,terms_bigram,1758,10406,79,314,4.4937,3.0175,1.4763,1.4956,6.46898
9,1970-1989,michigan chicago,terms_bigram,1758,10406,35,31,1.9909,0.2979,1.693,6.6677,6.066875
10,1970-1989,ego functions,terms_bigram,1758,10406,38,66,2.1615,0.6342,1.5273,3.4253,5.595349
11,1970-1989,self object,terms_bigram,1758,10406,37,66,2.1047,0.6342,1.4704,3.3363,5.348761
12,1970-1989,ego ideal,terms_bigram,1758,10406,32,38,1.8203,0.3652,1.4551,4.9944,5.087685
13,1970-1989,attempt made,terms_bigram,1758,10406,37,77,2.1047,0.74,1.3647,2.8628,4.964238
14,1970-1989,association december,terms_bigram,1758,10406,36,74,2.0478,0.7111,1.3367,2.8987,4.826546
15,1970-1989,points view,terms_bigram,1758,10406,35,75,1.9909,0.7207,1.2702,2.7819,4.551645
16,1970-1989,oedipus complex,terms_bigram,1758,10406,52,189,2.9579,1.8163,1.1416,1.6391,4.532671
17,1970-1989,summary presented,terms_bigram,1758,10406,26,13,1.479,0.1249,1.354,11.6137,4.462647
18,1970-1989,object constancy,terms_bigram,1758,10406,26,16,1.479,0.1538,1.3252,9.5021,4.36763
19,1970-1989,cambridge mass,terms_bigram,1758,10406,26,20,1.479,0.1922,1.2868,7.6481,4.24094
