rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
86,1946-1969,defence,terms_unigram,1743,10421,152,275,8.7206,2.6389,6.0817,3.3079,30.593586
87,1946-1969,basic,terms_unigram,1743,10421,185,500,10.6139,4.798,5.8159,2.2149,30.392316
88,1946-1969,study,terms_unigram,1743,10421,367,1659,21.0557,15.9198,5.1359,1.3234,30.343168
89,1946-1969,deal,terms_unigram,1743,10421,155,301,8.8927,2.8884,6.0043,3.0821,30.320928
90,1946-1969,factors,terms_unigram,1743,10421,197,585,11.3024,5.6137,5.6887,2.0158,30.083299
91,1946-1969,every,terms_unigram,1743,10421,171,415,9.8107,3.9823,5.8283,2.4666,30.001286
92,1946-1969,superego,terms_unigram,1743,10421,149,267,8.5485,2.5621,5.9863,3.3398,29.995394
93,1946-1969,either,terms_unigram,1743,10421,174,441,9.9828,4.2318,5.7509,2.3619,29.702419
94,1946-1969,knowledge,terms_unigram,1743,10421,209,671,11.9908,6.4389,5.5519,1.8644,29.686601
95,1946-1969,psycho-analytical,terms_unigram,1743,10421,147,261,8.4337,2.5046,5.9292,3.3707,29.629355
96,1946-1969,functions,terms_unigram,1743,10421,179,477,10.2697,4.5773,5.6924,2.2464,29.56015
97,1946-1969,cannot,terms_unigram,1743,10421,192,563,11.0155,5.4026,5.6129,2.0415,29.539154
98,1946-1969,freud's,terms_unigram,1743,10421,321,1395,18.4165,13.3864,5.0301,1.3768,29.046525
99,1946-1969,symptoms,terms_unigram,1743,10421,181,502,10.3844,4.8172,5.5672,2.1585,28.971739
100,1946-1969,attitude,terms_unigram,1743,10421,148,287,8.4911,2.7541,5.7371,3.0867,28.707905
1,1970-1989,summary,terms_unigram,1758,10406,896,823,50.967,7.9089,43.0581,6.4409,292.75449
2,1970-1989,ego,terms_unigram,1758,10406,413,1117,23.4926,10.7342,12.7584,2.1892,76.880489
3,1970-1989,object,terms_unigram,1758,10406,409,1469,23.2651,14.1169,9.1482,1.6487,55.037119
4,1970-1989,narcissistic,terms_unigram,1758,10406,203,478,11.5472,4.5935,6.9537,2.5162,36.980659
5,1970-1989,transference,terms_unigram,1758,10406,312,1240,17.7474,11.9162,5.8312,1.4904,33.507479
6,1970-1989,freud's,terms_unigram,1758,10406,329,1387,18.7144,13.3288,5.3856,1.405,31.23159
7,1970-1989,concept,terms_unigram,1758,10406,320,1335,18.2025,12.8291,5.3734,1.4199,31.012064
8,1970-1989,presented,terms_unigram,1758,10406,293,1231,16.6667,11.8297,4.837,1.41,27.491208
9,1970-1989,east,terms_unigram,1758,10406,172,515,9.7838,4.9491,4.8348,1.9798,24.915018
10,1970-1989,self,terms_unigram,1758,10406,259,1068,14.7327,10.2633,4.4693,1.4369,24.852583
11,1970-1989,described,terms_unigram,1758,10406,246,987,13.9932,9.4849,4.5083,1.4769,24.837763
12,1970-1989,problems,terms_unigram,1758,10406,222,843,12.628,8.1011,4.5269,1.5606,24.477676
13,1970-1989,identification,terms_unigram,1758,10406,183,605,10.4096,5.814,4.5956,1.793,23.965774
14,1970-1989,conflicts,terms_unigram,1758,10406,164,499,9.3288,4.7953,4.5335,1.9485,23.147662
15,1970-1989,early,terms_unigram,1758,10406,323,1497,18.3732,14.3859,3.9872,1.2781,23.049097
16,1970-1989,structural,terms_unigram,1758,10406,132,299,7.5085,2.8733,4.6352,2.6175,22.667698
17,1970-1989,neurosis,terms_unigram,1758,10406,137,354,7.7929,3.4019,4.3911,2.2948,21.635881
18,1970-1989,superego,terms_unigram,1758,10406,127,289,7.2241,2.7772,4.4469,2.6057,21.576369
19,1970-1989,formation,terms_unigram,1758,10406,147,421,8.3618,4.0457,4.316,2.0704,21.568128
20,1970-1989,objects,terms_unigram,1758,10406,166,564,9.4425,5.42,4.0226,1.7451,20.587633
21,1970-1989,fantasies,terms_unigram,1758,10406,144,426,8.1911,4.0938,4.0973,2.0045,20.391342
22,1970-1989,normal,terms_unigram,1758,10406,142,420,8.0774,4.0361,4.0412,2.005,20.055985
23,1970-1989,phase,terms_unigram,1758,10406,131,351,7.4516,3.3731,4.0786,2.2134,19.914974
24,1970-1989,drive,terms_unigram,1758,10406,158,532,8.9875,5.1124,3.8751,1.761,19.642261
25,1970-1989,role,terms_unigram,1758,10406,278,1284,15.8134,12.339,3.4744,1.2828,19.565021
26,1970-1989,function,terms_unigram,1758,10406,206,847,11.7179,8.1395,3.5783,1.4416,19.082208
27,1970-1989,phenomena,terms_unigram,1758,10406,169,617,9.6132,5.9293,3.6839,1.624,18.919897
28,1970-1989,structure,terms_unigram,1758,10406,184,712,10.4664,6.8422,3.6242,1.532,18.919784
29,1970-1989,conflict,terms_unigram,1758,10406,174,654,9.8976,6.2848,3.6128,1.5774,18.659211
30,1970-1989,functions,terms_unigram,1758,10406,150,506,8.5324,4.8626,3.6698,1.758,18.412634
31,1970-1989,freud,terms_unigram,1758,10406,386,1964,21.9568,18.8737,3.083,1.164,18.370076
32,1970-1989,oedipal,terms_unigram,1758,10406,127,374,7.2241,3.5941,3.63,2.0143,17.613054
33,1970-1989,basic,terms_unigram,1758,10406,151,534,8.5893,5.1317,3.4577,1.677,17.370827
34,1970-1989,discussed,terms_unigram,1758,10406,218,957,12.4005,9.1966,3.2038,1.3501,17.265711
35,1970-1989,relations,terms_unigram,1758,10406,175,707,9.9545,6.7942,3.1603,1.4676,16.340469
36,1970-1989,concepts,terms_unigram,1758,10406,198,851,11.2628,8.178,3.0848,1.3792,16.328916
37,1970-1989,observations,terms_unigram,1758,10406,139,480,7.9067,4.6127,3.294,1.7177,16.277715
38,1970-1989,attempt,terms_unigram,1758,10406,184,766,10.4664,7.3611,3.1053,1.4241,16.210778
39,1970-1989,character,terms_unigram,1758,10406,148,548,8.4187,5.2662,3.1525,1.6018,15.774766
40,1970-1989,view,terms_unigram,1758,10406,275,1338,15.6428,12.858,2.7848,1.2178,15.651745
41,1970-1989,attempted,terms_unigram,1758,10406,88,165,5.0057,1.5856,3.4201,3.1638,15.351426
42,1970-1989,situation,terms_unigram,1758,10406,209,942,11.8885,9.0525,2.836,1.3151,15.164611
43,1970-1989,later,terms_unigram,1758,10406,203,913,11.5472,8.7738,2.7734,1.318,14.749425
44,1970-1989,terms,terms_unigram,1758,10406,202,909,11.4903,8.7353,2.755,1.3173,14.637802
45,1970-1989,fantasy,terms_unigram,1758,10406,129,457,7.3379,4.3917,2.9462,1.6747,14.340666
46,1970-1989,psychopathology,terms_unigram,1758,10406,108,322,6.1433,3.0944,3.049,1.9905,14.303807
47,1970-1989,narcissism,terms_unigram,1758,10406,99,267,5.6314,2.5658,3.0656,2.2007,14.11748
48,1970-1989,personality,terms_unigram,1758,10406,188,844,10.694,8.1107,2.5833,1.3206,13.540822
49,1970-1989,suggested,terms_unigram,1758,10406,137,526,7.7929,5.0548,2.7382,1.5451,13.49166
50,1970-1989,neurotic,terms_unigram,1758,10406,114,379,6.4846,3.6421,2.8425,1.7851,13.487527
51,1970-1989,defensive,terms_unigram,1758,10406,118,407,6.7122,3.9112,2.801,1.7205,13.386171
52,1970-1989,nature,terms_unigram,1758,10406,238,1156,13.5381,11.109,2.4291,1.2201,13.303074
53,1970-1989,organization,terms_unigram,1758,10406,115,392,6.5415,3.7671,2.7745,1.741,13.188679
54,1970-1989,park,terms_unigram,1758,10406,107,343,6.0865,3.2962,2.7903,1.8516,13.064488
55,1970-1989,made,terms_unigram,1758,10406,260,1295,14.7895,12.4447,2.3448,1.1897,13.047633
56,1970-1989,vicissitudes,terms_unigram,1758,10406,85,202,4.835,1.9412,2.8939,2.498,12.890222
57,1970-1989,reviewed,terms_unigram,1758,10406,85,209,4.835,2.0085,2.8266,2.4146,12.590583
58,1970-1989,defined,terms_unigram,1758,10406,98,298,5.5745,2.8637,2.7108,1.9523,12.456378
59,1970-1989,pathological,terms_unigram,1758,10406,104,338,5.9158,3.2481,2.6677,1.8265,12.415311
