rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
38,japa,technique,terms_unigram,2924,9240,275,653,9.4049,7.0671,2.3378,1.3319,13.139515
39,japa,examined,terms_unigram,2924,9240,166,307,5.6772,3.3225,2.3546,1.7107,12.051052
40,japa,early,terms_unigram,2924,9240,480,1340,16.4159,14.5022,1.9137,1.1325,11.818783
41,japa,review,terms_unigram,2924,9240,201,434,6.8741,4.697,2.1772,1.4651,11.557029
42,japa,plenary,terms_unigram,2924,9240,81,21,2.7702,0.2273,2.5429,11.976,11.205869
43,japa,behavioral,terms_unigram,2924,9240,98,85,3.3516,0.9199,2.4317,3.6397,11.173768
44,japa,drive,terms_unigram,2924,9240,212,478,7.2503,5.1732,2.0772,1.403,11.136379
45,japa,fantasy,terms_unigram,2924,9240,186,400,6.3611,4.329,2.0321,1.4712,10.63037
46,japa,concepts,terms_unigram,2924,9240,293,756,10.0205,8.1818,1.8387,1.2257,10.450408
47,japa,boston,terms_unigram,2924,9240,122,198,4.1724,2.1429,2.0295,1.9497,9.766374
48,japa,freud's,terms_unigram,2924,9240,448,1268,15.3215,13.7229,1.5985,1.117,9.762282
49,japa,relatively,terms_unigram,2924,9240,121,199,4.1382,2.1537,1.9845,1.9241,9.533518
50,japa,south,terms_unigram,2924,9240,107,152,3.6594,1.645,2.0143,2.2271,9.431447
51,japa,preoedipal,terms_unigram,2924,9240,74,35,2.5308,0.3788,2.152,6.6301,9.291199
52,japa,north,terms_unigram,2924,9240,114,180,3.8988,1.9481,1.9507,2.0041,9.256019
53,japa,regarding,terms_unigram,2924,9240,173,381,5.9166,4.1234,1.7932,1.4368,9.251094
54,japa,publication,terms_unigram,2924,9240,190,439,6.4979,4.7511,1.7469,1.3694,9.175017
55,japa,education,terms_unigram,2924,9240,129,237,4.4118,2.5649,1.8468,1.7227,8.989507
56,japa,discussed,terms_unigram,2924,9240,317,858,10.8413,9.2857,1.5556,1.1684,8.963441
57,japa,fall,terms_unigram,2924,9240,94,117,3.2148,1.2662,1.9485,2.5409,8.873414
58,japa,empirical,terms_unigram,2924,9240,151,315,5.1642,3.4091,1.7551,1.5171,8.817251
59,japa,january,terms_unigram,2924,9240,89,103,3.0438,1.1147,1.9291,2.732,8.68039
60,japa,oedipal,terms_unigram,2924,9240,157,344,5.3694,3.7229,1.6464,1.4444,8.335124
61,japa,richard,terms_unigram,2924,9240,91,120,3.1122,1.2987,1.8135,2.399,8.200145
62,japa,noted,terms_unigram,2924,9240,111,191,3.7962,2.0671,1.7291,1.8395,8.158615
63,japa,haven,terms_unigram,2924,9240,73,58,2.4966,0.6277,1.8689,3.9694,8.043757
64,japa,arnold,terms_unigram,2924,9240,74,62,2.5308,0.671,1.8598,3.7659,8.029596
65,japa,earlier,terms_unigram,2924,9240,171,397,5.8482,4.2965,1.5516,1.3631,7.986937
66,japa,candidates,terms_unigram,2924,9240,90,122,3.078,1.3203,1.7576,2.334,7.928418
67,japa,explored,terms_unigram,2924,9240,147,318,5.0274,3.4416,1.5858,1.4631,7.924586
68,japa,intrapsychic,terms_unigram,2924,9240,125,245,4.275,2.6515,1.6235,1.615,7.851465
69,japa,address,terms_unigram,2924,9240,138,291,4.7196,3.1494,1.5702,1.5011,7.748168
70,japa,efforts,terms_unigram,2924,9240,120,230,4.104,2.4892,1.6148,1.6516,7.744193
71,japa,harvard,terms_unigram,2924,9240,90,128,3.078,1.3853,1.6927,2.225,7.635505
72,japa,female,terms_unigram,2924,9240,151,337,5.1642,3.6472,1.517,1.4182,7.621089
73,japa,cognitive,terms_unigram,2924,9240,116,219,3.9672,2.3701,1.597,1.6768,7.605375
74,japa,proposed,terms_unigram,2924,9240,147,325,5.0274,3.5173,1.51,1.4316,7.546009
75,japa,phase,terms_unigram,2924,9240,149,333,5.0958,3.6039,1.4919,1.4162,7.475182
76,japa,science,terms_unigram,2924,9240,165,390,5.643,4.2208,1.4222,1.339,7.270144
77,japa,annual,terms_unigram,2924,9240,76,86,2.5992,0.9307,1.6684,2.7941,7.247393
78,japa,effort,terms_unigram,2924,9240,116,227,3.9672,2.4567,1.5105,1.6178,7.193065
79,japa,functions,terms_unigram,2924,9240,187,469,6.3953,5.0758,1.3196,1.2617,6.909963
80,japa,over,terms_unigram,2924,9240,351,1001,12.0041,10.8333,1.1708,1.1088,6.864967
81,japa,defensive,terms_unigram,2924,9240,156,369,5.3352,3.9935,1.3417,1.3381,6.783716
82,japa,influence,terms_unigram,2924,9240,213,559,7.2845,6.0498,1.2348,1.2056,6.625683
83,japa,steven,terms_unigram,2924,9240,86,137,2.9412,1.4827,1.4585,1.9875,6.513493
84,japa,cambridge,terms_unigram,2924,9240,98,179,3.3516,1.9372,1.4143,1.7337,6.499079
85,japa,increasingly,terms_unigram,2924,9240,103,198,3.5226,2.1429,1.3797,1.6473,6.407934
86,japa,june,terms_unigram,2924,9240,74,97,2.5308,1.0498,1.481,2.414,6.394184
87,japa,stanley,terms_unigram,2924,9240,57,35,1.9494,0.3788,1.5706,5.1172,6.377318
88,japa,yale,terms_unigram,2924,9240,60,48,2.052,0.5195,1.5325,3.941,6.299927
89,japa,contributions,terms_unigram,2924,9240,185,474,6.3269,5.1299,1.1971,1.2351,6.255633
90,japa,today,terms_unigram,2924,9240,134,308,4.5828,3.3333,1.2494,1.3774,6.128797
91,japa,analyst's,terms_unigram,2924,9240,276,772,9.4391,8.355,1.0841,1.1308,6.097257
92,japa,san,terms_unigram,2924,9240,154,375,5.2668,4.0584,1.2083,1.2999,6.094053
93,japa,conflict,terms_unigram,2924,9240,224,604,7.6607,6.5368,1.1239,1.1733,6.087384
94,japa,henry,terms_unigram,2924,9240,63,65,2.1546,0.7035,1.4511,3.0628,6.035037
95,japa,suggested,terms_unigram,2924,9240,185,478,6.3269,5.1732,1.1538,1.2248,6.02941
96,japa,outcome,terms_unigram,2924,9240,125,280,4.275,3.0303,1.2447,1.4135,6.01954
97,japa,chair,terms_unigram,2924,9240,87,151,2.9754,1.6342,1.3412,1.8247,6.004901
98,japa,april,terms_unigram,2924,9240,73,103,2.4966,1.1147,1.3819,2.2436,5.947621
99,japa,organization,terms_unigram,2924,9240,148,359,5.0616,3.8853,1.1763,1.305,5.886033
100,japa,survey,terms_unigram,2924,9240,72,101,2.4624,1.0931,1.3693,2.2567,5.874955
1,psychoanalytic_dialogues,faculty,terms_unigram,1578,10586,624,305,39.5437,2.8812,36.6626,13.706,236.024472
2,psychoanalytic_dialogues,relational,terms_unigram,1578,10586,546,332,34.6008,3.1362,31.4645,11.0202,198.366599
3,psychoanalytic_dialogues,program,terms_unigram,1578,10586,513,219,32.5095,2.0688,30.4407,15.6854,190.017868
4,psychoanalytic_dialogues,private,terms_unigram,1578,10586,451,260,28.5805,2.4561,26.1244,11.6209,159.716325
5,psychoanalytic_dialogues,member,terms_unigram,1578,10586,401,247,25.4119,2.3333,23.0786,10.8768,138.38998
6,psychoanalytic_dialogues,addressed,terms_unigram,1578,10586,396,224,25.0951,2.116,22.9791,11.8418,137.5052
7,psychoanalytic_dialogues,correspondence,terms_unigram,1578,10586,383,130,24.2712,1.228,23.0432,19.7036,137.121801
8,psychoanalytic_dialogues,professor,terms_unigram,1578,10586,431,543,27.3131,5.1294,22.1836,5.3232,134.619758
9,psychoanalytic_dialogues,dialogues,terms_unigram,1578,10586,357,28,22.6236,0.2645,22.3591,84.105,131.483271
10,psychoanalytic_dialogues,postdoctoral,terms_unigram,1578,10586,338,68,21.4195,0.6424,20.7772,33.1329,121.04774
11,psychoanalytic_dialogues,training,terms_unigram,1578,10586,446,1042,28.2636,9.8432,18.4204,2.8717,112.411788
12,psychoanalytic_dialogues,center,terms_unigram,1578,10586,382,619,24.2079,5.8473,18.3605,4.1398,109.208971
13,psychoanalytic_dialogues,psychology,terms_unigram,1578,10586,445,1171,28.2003,11.0618,17.1385,2.5497,104.550156
14,psychoanalytic_dialogues,supervising,terms_unigram,1578,10586,329,330,20.8492,3.1173,17.7319,6.6846,102.828649
15,psychoanalytic_dialogues,gmail,terms_unigram,1578,10586,382,813,24.2079,7.68,16.5279,3.1526,98.308548
16,psychoanalytic_dialogues,editor,terms_unigram,1578,10586,261,181,16.5399,1.7098,14.8301,9.6602,82.579209
17,psychoanalytic_dialogues,associate,terms_unigram,1578,10586,252,211,15.9696,1.9932,13.9764,8.0046,77.336772
18,psychoanalytic_dialogues,supervisor,terms_unigram,1578,10586,230,125,14.5754,1.1808,13.3946,12.3145,72.899047
19,psychoanalytic_dialogues,trauma,terms_unigram,1578,10586,290,594,18.3777,5.6112,12.7665,3.2763,72.428531
20,psychoanalytic_dialogues,stephen,terms_unigram,1578,10586,224,95,14.1952,0.8974,13.2978,15.7617,72.022069
21,psychoanalytic_dialogues,author,terms_unigram,1578,10586,404,1500,25.602,14.1697,11.4324,1.8075,68.638657
22,psychoanalytic_dialogues,california,terms_unigram,1578,10586,221,250,14.0051,2.3616,11.6435,5.9287,62.905858
23,psychoanalytic_dialogues,self,terms_unigram,1578,10586,319,1008,20.2155,9.522,10.6935,2.1242,61.683266
24,psychoanalytic_dialogues,international,terms_unigram,1578,10586,247,513,15.6527,4.846,10.8067,3.2317,59.581981
25,psychoanalytic_dialogues,discussion,terms_unigram,1578,10586,318,1044,20.1521,9.8621,10.29,2.0445,59.32387
26,psychoanalytic_dialogues,board,terms_unigram,1578,10586,190,124,12.0406,1.1714,10.8692,10.2593,57.088007
27,psychoanalytic_dialogues,gender,terms_unigram,1578,10586,203,237,12.8644,2.2388,10.6256,5.745,56.508106
28,psychoanalytic_dialogues,white,terms_unigram,1578,10586,196,187,12.4208,1.7665,10.6543,7.0267,56.288847
29,psychoanalytic_dialogues,studies,terms_unigram,1578,10586,270,773,17.1103,7.3021,9.8082,2.3448,54.946528
30,psychoanalytic_dialogues,social,terms_unigram,1578,10586,283,874,17.9341,8.2562,9.6779,2.1736,54.670244
31,psychoanalytic_dialogues,suite,terms_unigram,1578,10586,243,589,15.3992,5.564,9.8353,2.7695,54.066228
32,psychoanalytic_dialogues,personal,terms_unigram,1578,10586,260,718,16.4766,6.7825,9.694,2.4309,53.942514
33,psychoanalytic_dialogues,mitchell,terms_unigram,1578,10586,170,60,10.7731,0.5668,10.2063,18.8956,52.477588
34,psychoanalytic_dialogues,west,terms_unigram,1578,10586,235,566,14.8923,5.3467,9.5456,2.7873,52.155468
35,psychoanalytic_dialogues,subjectivity,terms_unigram,1578,10586,177,185,11.2167,1.7476,9.4691,6.4157,49.067028
36,psychoanalytic_dialogues,nyu,terms_unigram,1578,10586,159,68,10.076,0.6424,9.4337,15.6121,47.877605
37,psychoanalytic_dialogues,psychoanalyst,terms_unigram,1578,10586,199,389,12.6109,3.6747,8.9362,3.4342,47.34701
38,psychoanalytic_dialogues,commentary,terms_unigram,1578,10586,153,70,9.6958,0.6613,9.0346,14.5986,45.506685
39,psychoanalytic_dialogues,press,terms_unigram,1578,10586,165,174,10.4563,1.6437,8.8126,6.3591,45.04987
40,psychoanalytic_dialogues,northern,terms_unigram,1578,10586,149,52,9.4423,0.4912,8.9511,19.0929,44.850784
41,psychoanalytic_dialogues,journal,terms_unigram,1578,10586,194,438,12.294,4.1375,8.1565,2.974,43.009236
42,psychoanalytic_dialogues,book,terms_unigram,1578,10586,193,464,12.2307,4.3831,7.8475,2.7931,41.339644
43,psychoanalytic_dialogues,society,terms_unigram,1578,10586,233,761,14.7655,7.1887,7.5768,2.0559,41.333801
44,psychoanalytic_dialogues,san,terms_unigram,1578,10586,178,351,11.2801,3.3157,7.9644,3.4049,41.314423
45,psychoanalytic_dialogues,ways,terms_unigram,1578,10586,243,844,15.3992,7.9728,7.4264,1.9333,40.824419
46,psychoanalytic_dialogues,francisco,terms_unigram,1578,10586,170,312,10.7731,2.9473,7.8258,3.6582,40.237845
47,psychoanalytic_dialogues,director,terms_unigram,1578,10586,153,193,9.6958,1.8232,7.8727,5.3189,39.654189
48,psychoanalytic_dialogues,psychologist,terms_unigram,1578,10586,138,87,8.7452,0.8218,7.9234,10.6129,39.097845
49,psychoanalytic_dialogues,psy,terms_unigram,1578,10586,130,27,8.2383,0.2551,7.9832,31.8177,38.919785
50,psychoanalytic_dialogues,american,terms_unigram,1578,10586,227,764,14.3853,7.2171,7.1682,1.9952,38.918737
51,psychoanalytic_dialogues,president,terms_unigram,1578,10586,140,122,8.872,1.1525,7.7195,7.6901,38.202072
52,psychoanalytic_dialogues,association,terms_unigram,1578,10586,249,950,15.7795,8.9741,6.8054,1.76,37.575479
53,psychoanalytic_dialogues,published,terms_unigram,1578,10586,193,577,12.2307,5.4506,6.7801,2.2466,35.716482
54,psychoanalytic_dialogues,national,terms_unigram,1578,10586,140,177,8.872,1.672,7.2,5.3072,35.630924
55,psychoanalytic_dialogues,routledge,terms_unigram,1578,10586,126,70,7.9848,0.6613,7.3235,12.0307,35.476599
56,psychoanalytic_dialogues,intersubjective,terms_unigram,1578,10586,139,186,8.8086,1.757,7.0516,5.0152,34.846391
57,psychoanalytic_dialogues,founding,terms_unigram,1578,10586,121,54,7.6679,0.5101,7.1578,14.9476,34.386349
58,psychoanalytic_dialogues,issue,terms_unigram,1578,10586,184,561,11.6603,5.2995,6.3609,2.2031,33.206044
