journal_key,period,semantic_family,n_articles,n_family_hits,total_terms_hit,n_articles_group,pct_articles_group
japa,2010-2025,drive_conflict_defense,174,174,306,730,23.8356
japa,2010-2025,dream_fantasy_unconscious,197,197,304,730,26.9863
japa,2010-2025,ego_self_narcissism,238,238,331,730,32.6027
japa,2010-2025,object_relations,145,145,279,730,19.863
japa,2010-2025,kleinian_bionian,33,33,48,730,4.5205
japa,2010-2025,winnicottian_environment_holding,122,122,136,730,16.7123
japa,2010-2025,attachment_development_infant,237,237,363,730,32.4658
japa,2010-2025,transference_countertransference,100,100,168,730,13.6986
japa,2010-2025,technique_interpretation_process,163,163,204,730,22.3288
japa,2010-2025,relational_intersubjective_field,233,233,366,730,31.9178
japa,2010-2025,trauma_dissociation_affect_regulation,213,213,292,730,29.1781
japa,2010-2025,psychosis_borderline_primitive_states,39,39,56,730,5.3425
japa,2010-2025,body_sexuality_gender,117,117,191,730,16.0274
japa,2010-2025,language_narrative_symbolization,199,199,262,730,27.2603
japa,2010-2025,culture_race_social_ethics,183,183,311,730,25.0685
japa,2010-2025,empirical_research_measurement,112,112,186,730,15.3425
japa,2010-2025,history_theory_schools,195,195,337,730,26.7123
psychoanalytic_dialogues,1990-2009,drive_conflict_defense,114,114,176,535,21.3084
psychoanalytic_dialogues,1990-2009,dream_fantasy_unconscious,153,153,223,535,28.5981
psychoanalytic_dialogues,1990-2009,ego_self_narcissism,260,260,401,535,48.5981
psychoanalytic_dialogues,1990-2009,object_relations,119,119,201,535,22.243
psychoanalytic_dialogues,1990-2009,kleinian_bionian,26,26,33,535,4.8598
psychoanalytic_dialogues,1990-2009,winnicottian_environment_holding,66,66,75,535,12.3364
psychoanalytic_dialogues,1990-2009,attachment_development_infant,151,151,230,535,28.2243
psychoanalytic_dialogues,1990-2009,transference_countertransference,151,151,299,535,28.2243
psychoanalytic_dialogues,1990-2009,technique_interpretation_process,149,149,188,535,27.8505
psychoanalytic_dialogues,1990-2009,relational_intersubjective_field,356,356,767,535,66.5421
psychoanalytic_dialogues,1990-2009,trauma_dissociation_affect_regulation,176,176,249,535,32.8972
psychoanalytic_dialogues,1990-2009,psychosis_borderline_primitive_states,14,14,16,535,2.6168
psychoanalytic_dialogues,1990-2009,body_sexuality_gender,121,121,214,535,22.6168
psychoanalytic_dialogues,1990-2009,language_narrative_symbolization,139,139,160,535,25.9813
psychoanalytic_dialogues,1990-2009,culture_race_social_ethics,151,151,255,535,28.2243
psychoanalytic_dialogues,1990-2009,empirical_research_measurement,29,29,33,535,5.4206
psychoanalytic_dialogues,1990-2009,history_theory_schools,102,102,160,535,19.0654
psychoanalytic_dialogues,2010-2025,drive_conflict_defense,181,181,283,1043,17.3538
psychoanalytic_dialogues,2010-2025,dream_fantasy_unconscious,218,218,307,1043,20.9012
psychoanalytic_dialogues,2010-2025,ego_self_narcissism,488,488,689,1043,46.7881
psychoanalytic_dialogues,2010-2025,object_relations,219,219,417,1043,20.9971
psychoanalytic_dialogues,2010-2025,kleinian_bionian,60,60,88,1043,5.7526
psychoanalytic_dialogues,2010-2025,winnicottian_environment_holding,139,139,147,1043,13.3269
psychoanalytic_dialogues,2010-2025,attachment_development_infant,399,399,649,1043,38.255
psychoanalytic_dialogues,2010-2025,transference_countertransference,162,162,263,1043,15.5321
psychoanalytic_dialogues,2010-2025,technique_interpretation_process,169,169,198,1043,16.2033
psychoanalytic_dialogues,2010-2025,relational_intersubjective_field,716,716,1540,1043,68.6481
psychoanalytic_dialogues,2010-2025,trauma_dissociation_affect_regulation,472,472,667,1043,45.2541
psychoanalytic_dialogues,2010-2025,psychosis_borderline_primitive_states,35,35,41,1043,3.3557
psychoanalytic_dialogues,2010-2025,body_sexuality_gender,278,278,481,1043,26.6539
psychoanalytic_dialogues,2010-2025,language_narrative_symbolization,245,245,280,1043,23.4899
psychoanalytic_dialogues,2010-2025,culture_race_social_ethics,453,453,901,1043,43.4324
psychoanalytic_dialogues,2010-2025,empirical_research_measurement,64,64,81,1043,6.1361
psychoanalytic_dialogues,2010-2025,history_theory_schools,84,84,139,1043,8.0537
psychoanalytic_psychology,1970-1989,drive_conflict_defense,44,44,97,123,35.7724
psychoanalytic_psychology,1970-1989,dream_fantasy_unconscious,24,24,35,123,19.5122
psychoanalytic_psychology,1970-1989,ego_self_narcissism,55,55,107,123,44.7154
psychoanalytic_psychology,1970-1989,object_relations,42,42,86,123,34.1463
psychoanalytic_psychology,1970-1989,kleinian_bionian,1,1,1,123,0.813
psychoanalytic_psychology,1970-1989,winnicottian_environment_holding,19,19,22,123,15.4472
psychoanalytic_psychology,1970-1989,attachment_development_infant,47,47,81,123,38.2114
psychoanalytic_psychology,1970-1989,transference_countertransference,27,27,41,123,21.9512
psychoanalytic_psychology,1970-1989,technique_interpretation_process,23,23,27,123,18.6992
psychoanalytic_psychology,1970-1989,relational_intersubjective_field,50,50,70,123,40.6504
psychoanalytic_psychology,1970-1989,trauma_dissociation_affect_regulation,36,36,47,123,29.2683
psychoanalytic_psychology,1970-1989,psychosis_borderline_primitive_states,17,17,27,123,13.8211
psychoanalytic_psychology,1970-1989,body_sexuality_gender,17,17,25,123,13.8211
psychoanalytic_psychology,1970-1989,language_narrative_symbolization,23,23,24,123,18.6992
psychoanalytic_psychology,1970-1989,culture_race_social_ethics,16,16,23,123,13.0081
psychoanalytic_psychology,1970-1989,empirical_research_measurement,24,24,30,123,19.5122
psychoanalytic_psychology,1970-1989,history_theory_schools,25,25,46,123,20.3252
psychoanalytic_psychology,1990-2009,drive_conflict_defense,204,204,345,622,32.7974
psychoanalytic_psychology,1990-2009,dream_fantasy_unconscious,162,162,231,622,26.045
psychoanalytic_psychology,1990-2009,ego_self_narcissism,267,267,444,622,42.926
psychoanalytic_psychology,1990-2009,object_relations,149,149,309,622,23.955
psychoanalytic_psychology,1990-2009,kleinian_bionian,7,7,12,622,1.1254
psychoanalytic_psychology,1990-2009,winnicottian_environment_holding,73,73,80,622,11.7363
psychoanalytic_psychology,1990-2009,attachment_development_infant,228,228,419,622,36.6559
psychoanalytic_psychology,1990-2009,transference_countertransference,117,117,202,622,18.8103
psychoanalytic_psychology,1990-2009,technique_interpretation_process,138,138,192,622,22.1865
psychoanalytic_psychology,1990-2009,relational_intersubjective_field,260,260,471,622,41.8006
psychoanalytic_psychology,1990-2009,trauma_dissociation_affect_regulation,222,222,314,622,35.6913
psychoanalytic_psychology,1990-2009,psychosis_borderline_primitive_states,36,36,51,622,5.7878
psychoanalytic_psychology,1990-2009,body_sexuality_gender,121,121,196,622,19.4534
