rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
223,paul williams,2,35,7,0.444,1578
224,avenue new,2,34,34,2.155,1578
225,member faculty,2,34,33,2.091,1578
226,international psychoanalytic,2,34,32,2.028,1578
227,doctoral program,2,34,32,2.028,1578
228,think about,2,34,32,2.028,1578
229,irwin hirsch,2,34,6,0.38,1578
230,pratyusha tummala-narra,2,34,7,0.444,1578
231,thomas ogden,2,33,12,0.76,1578
232,emmanuel ghent,2,33,11,0.697,1578
233,assistant professor,2,33,33,2.091,1578
234,frank lachmann,2,33,12,0.76,1578
235,city university,2,33,30,1.901,1578
236,psychoanalysis los,2,33,30,1.901,1578
237,phd steven,2,33,32,2.028,1578
238,eating disorders,2,33,18,1.141,1578
239,seligman stephen,2,33,20,1.267,1578
240,city correspondence,2,33,33,2.091,1578
241,foehl phd,2,33,33,2.091,1578
242,publications include,2,33,33,2.091,1578
243,west end,2,32,32,2.028,1578
244,psychoanalysis american,2,32,27,1.711,1578
245,psychoanalytic practice,2,32,26,1.648,1578
246,jonathan slavin,2,32,9,0.57,1578
247,center psychoanalytic,2,32,30,1.901,1578
248,subjective experience,2,32,20,1.267,1578
249,psychoanalysis associate,2,32,31,1.965,1578
250,interpersonal relational,2,32,15,0.951,1578
